autores;titulo;ano;DOI;Taxa;especie;ambiente;estrategia_predacao;temperatura_min;temperatura_quantidade;temperatura_max;taxa_medida_vo;tipo_modelo;coeficiente;coeficiente_SE;coef_p;intercepto;intercepto_SE;intercepto_p;r2;r2_tipo;n;estatistica_valor;estatistica;z_fisher;z_fisher_SE;tratamento_tipo;clima;pais;local
twardochleb_et_al;Foraging_strategy_mediates_ectotherm_predator–prey_responses_to_climate;2020;10.1002/ecy.3146;Odonata;Enallagma;água doce;senta-espera;10;6;35;taxa de ataque;Arrhenius;0.24;0.05;0.01;9.94;1.78;0.01;0.5;normal;29;NA;regressao;0.881373587;0.196116135;temperaturas;temperado;USA;Lux Arbor Reserve_Barry County_Michigan
twardochleb_et_al;Foraging_strategy_mediates_ectotherm_predator–prey_responses_to_climate;2021;10.1002/ecy.3147;Odonata;Enallagma;água doce;senta-espera;10;6;35;taxa de ataque;Arrhenius;0.27;0;0.01;13.62;2.39;0.01;0.45;normal;30;NA;regressao;0.81223326;0.19245009;temperaturas;temperado;USA;Lux Arbor Reserve_Barry County_Michigan
twardochleb_et_al;Foraging_strategy_mediates_ectotherm_predator–prey_responses_to_climate;2022;10.1002/ecy.3148;Odonata;Enallagma;água doce;senta-espera;10;6;35;sucesso captura;arrhenius;0.48;0.09;0.04;1.7;0.77;NA;0.12;normal;29;NA;regressao;0.361358597;0.196116135;temperaturas;temperado;USA;Lux Arbor Reserve_Barry County_Michigan
twardochleb_et_al;Foraging_strategy_mediates_ectotherm_predator–prey_responses_to_climate;2023;10.1002/ecy.3149;Odonata;Enallagma;água doce;senta-espera;10;6;35;sucesso captura;arrhenius-quadratic;20.85;6.75;0.01;-411.15;132.18;NA;0.29;normal;30;NA;regressao;0.602063782;0.19245009;temperaturas;temperado;USA;Lux Arbor Reserve_Barry County_Michigan
twardochleb_et_al;Foraging_strategy_mediates_ectotherm_predator–prey_responses_to_climate;2024;10.1002/ecy.3150;Odonata;Enallagma;água doce;senta-espera;10;6;35;tempo de manipulação;arrhenius;-0.38;0.09;0.01;-17.07;3.36;0.01;0.82;normal;29;NA;regressao;1.502.163.867;0.196116135;temperaturas;temperado;USA;Lux Arbor Reserve_Barry County_Michigan
twardochleb_et_al;Foraging_strategy_mediates_ectotherm_predator–prey_responses_to_climate;2025;10.1002/ecy.3151;Odonata;Enallagma;água doce;senta-espera;10;6;35;tempo de manipulação;arrhenius;-0.21;0.06;0.02;-11.17;2.17;0.01;0.78;normal;30;NA;regressao;1.390.023.625;0.19245009;temperaturas;temperado;USA;Lux Arbor Reserve_Barry County_Michigan
twardochleb_et_al;Foraging_strategy_mediates_ectotherm_predator–prey_responses_to_climate;2026;10.1002/ecy.3152;Odonata;Enallagma;água doce;senta-espera;10;6;35;taxa de crescimento;arrhenius;0.05;0.01;0.01;1.9;0.35;0.01;0.39;normal;29;NA;regressao;0.732348114;0.196116135;temperaturas;temperado;USA;Lux Arbor Reserve_Barry County_Michigan
twardochleb_et_al;Foraging_strategy_mediates_ectotherm_predator–prey_responses_to_climate;2027;10.1002/ecy.3153;Odonata;Enallagma;água doce;senta-espera;10;6;35;taxa de crescimento;arrhenius;0.05;0.01;0.01;2.13;0.27;0.01;0.62;normal;30;NA;regressao;1.064.554.504;0.19245009;temperaturas;temperado;USA;Lux Arbor Reserve_Barry County_Michigan
ryan_et_al;Temperature_dependency_of_predation_Increased_killing_rates_and_prey_mass_consumption_by_predators_with_warming;2020;10.1002/ece3.6581;Arachnida;Pardosa sp.;terrestre;busca ativa;20;4;35;taxa de consumo;ANCOVA;NA;NA;0.001;NA;NA;NA;0.074687564;NA;82;6.538;F;0.280416218;0.11250879;temperaturas;temperado;USA;North_Carolina
ding-xu_et_al;Functional_response_of_the_predator_Scolothrips_takahashii_to_hawthorn_spider_ mite_Tetranychus_viennensis_effect_of_age_and_temperature;2007;10.1007/s10526-006-9015-7;Thysanoptera;Scollothrips takahashii;terrestre;busca ativa;20;4;35;taxa de consumo;resposta funcional;0.139;0.017;0.0092;NA;NA;NA;0.97;normal;72;6.92;F;243.884.032;0.120385853;temperaturas;temperado;China;Luoyang_Henan_Province
gresens_et_al;The_influence_of_temperature_on_the_functional_response_of_the_dragonfly_Celithemis_fasciata_Odonata_Libellulidae;1982;10.1007/BF00388999;Odonata;Celithemis fasciata;água doce;senta-espera;10;4;25;tempo de manipulação;resposta funcional;0.008;0.001;NA;NA;NA;NA;0.965;normal;72;NA;NA;236.048.366;0.120385853;temperaturas;subtropical;USA;South_Carolina
