spn,sp,d,vd,min,max,log,lat,alt,ft,ver,nfg,np,lh2,ms,fs,r,ISI,IA
1,baad,0.395765903,0.03127119,0.049166128,0.742365677,47.116667,22.816667,2,S,I,1,3,V,C,Z,O,1.47,15.09433962
2,bamu,1.692491984,0.134904758,0.972596075,2.412387893,47.116667,22.816667,2,S,I,1,3,V,C,Z,O,0.04,0
3,dibr,0.83600636,0.775766377,-0.890314616,2.562327337,47.116667,22.816667,2,S,I,1,3,V,I,Z,O,0,0
4,maan,-0.119532393,0.09197319,-0.7139432,0.474878415,47.116667,22.816667,2,S,I,1,3,V,C,Z,O,0.23,52.13675214
5,maco,2.45259613,0.642812075,0.881155114,4.024037146,47.116667,22.816667,2,S,I,1,3,V,I,Z,O,0,NA
6,stla,0.254847217,0.081098356,-0.303317134,0.813011568,47.116667,22.816667,2,S,I,1,3,V,I,Z,O,0,0
9,meni,0.949811203,0.069680959,0.43242704,1.467195366,47.1,22.816667,2,S,I,1,3,W,I,A,N,0,0
10,mest,0.590165404,0.117182822,-0.080781338,1.261112146,47.1,22.816667,2,S,I,1,3,W,I,A,N,0,0
12,rubr,1.096301066,0.142279754,0.356989289,1.835612844,49.116667,22.783333,2,S,M,2,2,W,C,Z,N,1.06,33.82936508
13,rume,0.887329811,0.733855164,-0.791710986,2.566370608,42.858611,20.801944,2,S,I,1,NA,H,C,NA,NA,0.5,0
14,rusu,0.716332402,0.221832078,-0.206809034,1.639473837,42.858611,20.801944,2,S,V,1,1,W,C,Z,N,1.02,52.5
24,psmo,2.009285831,0.101362945,1.385269895,2.633301767,46.866667,23.183333,3,S,I,1,3,H,C,Z,NO,1,0
29,malu,-0.042430855,0.282348483,-1.083905737,0.999044028,48.533333,24.183333,3,S,M,2,3,V,I,A,NO,0.3,0
32,byse,1.115437237,0.022665912,0.820355271,1.410519203,34.875,8.125,1,S,I,1,3,W,I,Z,O,0,0
33,gram,1.207020171,0.043482726,0.798310933,1.615729408,46.866667,23.25,3,S,I,2,NA,H,C,Z,O,0.71,0
34,hyat,0.053233426,0.036563994,-0.321552167,0.42801902,47.109167,22.829722,2,S,I,2,3,W,I,Z,NO,0,0
35,leda,0.209223637,0.077375369,-0.335978361,0.754425636,46.983333,23.266667,3,S,NA,NA,NA,W,C,NA,NA,1.13,0
36,lere,0.553149559,0.147683362,-0.200070466,1.306369583,46.983333,23.266667,3,S,NA,NA,NA,W,C,NA,NA,0.92,11.66666667
37,mipu,0.195723134,0.00834246,0.016702481,0.374743788,46.983333,23.266667,3,S,NA,NA,NA,W,I,NA,NA,0.02,0
39,tise,0.114477605,0.14467502,-0.631031318,0.859986529,46.983333,23.266667,3,S,I,1,NA,W,C,Z,O,0.89,43.10344828
40,tism,0.09612608,0.13316504,-0.619112912,0.811365073,46.983333,23.266667,3,S,I,1,NA,W,C,Z,O,1.2,0
42,poes,-0.636181075,0.09129804,-1.228406159,-0.04395599,46.866667,23.25,3,S,I,1,3,H,C,Z,O,0.86,0
45,gaja,1.835056592,0.043451003,1.42649647,2.243616714,47.1,22.816667,2,S,I,2,NA,W,C,Z,N,0.8,12.13942308
46,pami,0.182686802,0.298396577,-0.88797668,1.253350283,47.1,22.816667,2,S,I,1,3,V,I,A,N,0,0
47,pasu,1.257092023,0.403365941,0.012274527,2.501909518,47.1,22.816667,2,S,I,2,2,V,C,A,NO,0.89,72.72727273
48,epse,2.145912777,0.054489352,1.688390872,2.603434681,46.866667,23.183333,3,S,I,1,3,H,C,Z,O,1.16,0
50,dast,2.639483084,0.683194551,1.019433644,4.259532523,47.1,23.816667,2,S,I,1,1,V,C,Z,O,0.71,33.33333333
54,cofl,0.334180253,0.080199403,-0.22088193,0.889242435,42.858611,20.801944,2,S,V,1,2,H,C,Z,N,1.08,0
68,capi,-0.196645244,0.057872887,-0.668158217,0.27486773,47.109167,22.829167,2,S,I,1,NA,V,C,Z,N,0.79,NA
69,diru,0.496948718,0.033439006,0.138536548,0.855360889,47.109167,22.829167,2,S,I,1,NA,V,C,Z,N,1.43,NA
70,vica,0.045590342,0.161243275,-0.741449788,0.832630472,47.109167,22.829167,2,S,I,1,NA,V,C,Z,N,1.08,NA
73,paal,0.526801179,0.205760028,-0.362270091,1.415872449,41.066667,21.4,1,S,I,1,1,V,I,A,N,0,0
74,migl,2.354008068,0.417152949,1.088095446,3.619920691,41.066667,21.4,1,S,I,2,NA,V,I,A,N,0.11,NA
75,crfl,1.00082202,0.041244241,0.602771928,1.398872112,47.109167,22.829167,2,S,I,2,1,W,C,A,N,0.41,NA
76,crpr,0.203080632,0.044381682,-0.209831792,0.615993056,47.109167,22.829167,2,S,I,2,1,W,C,A,N,NA,NA
87,palo,1.128698671,0.071098685,0.606077672,1.651319669,42.858611,20.801944,2,S,V,1,2,W,I,A,N,0,NA
88,cavi,-0.317214944,0.122429815,-1.003018397,0.368588508,35.183333,8.016667,1,S,I,1,2,H,C,Z,N,3.33,90.90909091
89,hyhe,-0.808434165,0.129899007,-1.51484766,-0.102020669,35.183333,8.016667,1,S,I,2,3,H,C,Z,N,0.78,0
93,caec,1.064384254,0.033379528,0.706290979,1.422477529,35.194444,8.039722,1,S,M,3,3,W,I,Z,NO,0,0
95,gout,1.508619933,0.066163781,1.004462437,2.012777428,46.866667,23.25,3,S,I,1,2,H,C,Z,O,1.11,0
97,eclo,1.00802412,0.310011677,-0.083278248,2.099326488,48.498056,21.745556,2,S,I,1,NA,H,NA,A,O,0.98,NA
100,stli,1.221223585,0.091177066,0.629390992,1.813056177,46.866667,23.183333,3,S,I,1,1,H,C,Z,O,0.98,0
104,prco,-0.203584886,0.116047822,-0.87127442,0.464104649,47.116667,22.833333,2,S,I,2,3,V,I,A,N,0,0
105,prri,0.355252716,0.195767083,-0.511960536,1.222465968,47.116667,22.833333,2,S,I,2,3,V,I,A,N,0,0
106,miel,0.314883583,0.004268619,0.18682763,0.442939536,47.116667,22.833333,2,S,I,1,NA,W,NA,NA,O,0.3,8.471264368
129,diin,-0.273700057,0.087035562,-0.851935144,0.30453503,47.116667,22.816667,2,S,I,1,3,H,C,Z,O,0.36,0
130,dihe,1.185745817,0.088546418,0.602513515,1.768978119,47.116667,22.816667,2,S,I,1,3,H,I,Z,O,0,0
132,sieu,-0.187962718,0.104276428,-0.820883192,0.444957756,47.933333,22.4,3,S,I,1,2,H,C,Z,NO,0.91,13.54166667
134,vahi,-0.334180253,0.109956558,-0.984110335,0.315749829,43.883333,21.7,4,S,V,1,2,W,C,Z,N,1,0
135,vabr,0.037266142,0.102668841,-0.590756644,0.665288929,43.883333,21.7,4,S,V,1,2,W,C,Z,N,0.91,0
136,situ,0.184255306,0.142825646,-0.556473389,0.924984002,43.883333,21.7,4,S,V,1,2,W,C,Z,N,0.64,0
137,gepe,-0.208013255,0.243532803,-1.175254496,0.759227986,46.933333,22.841667,2,S,V,1,2,W,C,Z,N,0.65,43.33333333
7,psnu,0.120076261,0.030213951,-0.220614086,0.460766608,44.215,23.1825,1,O,V,1,1,W,I,A,N,0.12,NA
8,iral,0.140529492,0.678770502,-1.474266087,1.75532507,34.933333,8.016667,1,O,M,2,NA,H,C,Z,N,0.93,86.66666667
11,psba,0.9603691,0.046583497,0.537338178,1.383400023,34.875,8.125,1,O,I,2,2,W,I,A,NO,0,NA
15,pste,-0.471380904,0.153791708,-1.240020109,0.297258301,42.466667,22.833333,1,O,I,3,3,W,I,A,NO,0.19,0
18,saci,-0.17099741,0.121355195,-0.853784433,0.511789613,34.875,8.125,1,O,I,3,3,V,I,A,N,0,NA
20,pssu,0.17099741,0.066810602,-0.335618431,0.67761325,47,23.708333,3,O,M,3,1,W,I,A,O,0,NA
21,psco,-0.069006072,0.119201442,-0.745707084,0.607694941,42.283333,22.525,3,O,I,1,2,W,I,A,O,0,0
22,psle,-0.366620727,0.181895724,-1.202545733,0.469304278,42.283333,22.525,3,O,I,1,2,W,C,A,O,1.6,75
26,ruja,0.508884456,0.032123233,0.15759453,0.860174382,44.833333,23.35,1,O,I,2,NA,W,I,A,NO,0.15,NA
27,psbi,-0.115657761,0.027089724,-0.438253305,0.206937784,44.833333,23.35,1,O,I,1,NA,W,C,A,NO,0.13,NA
28,psma,0.012674788,0.051972648,-0.434156414,0.459505991,44.833333,23.35,1,O,I,1,NA,W,I,A,NO,0.66,NA
30,inst,1.006076387,0.180923838,0.172387586,1.839765188,35.866667,9,2,O,M,2,3,W,I,A,NO,0,0
31,comu,0.106175437,0.01616108,-0.142991988,0.355342863,34.875,8.125,1,O,I,3,3,W,I,A,N,0,NA
38,tice,0.20570947,0.04997567,-0.232453211,0.643872151,48.987778,25.433889,3,O,I,1,3,W,C,Z,O,0.74,31.79723502
43,swpi,1.777936633,0.131093732,1.068282012,2.487591254,34.875,8.125,1,O,I,1,3,W,C,Z,O,0,0
44,vigu,0.447089353,0.063325766,-0.046137028,0.940315735,34.875,8.125,1,O,I,2,2,W,I,A,NO,0,0
49,belo,0.366620727,0.256197957,-0.625452894,1.358694349,44.833333,23.366667,1,O,V,1,2,W,C,Z,N,0.8,0
51,vren,1.022681336,0.162785241,0.231886938,1.813475734,47.25,24.5,2,O,V,1,1,H,C,Z,N,0.86,NA
52,vrca,1.040396242,0.434760169,-0.251956135,2.332748618,47.25,24.5,2,O,V,1,1,H,I,Z,N,0,NA
53,clne,0.15739709,0.065497424,-0.344215213,0.659009393,34.875,8.125,1,O,I,1,3,W,NA,A,O,NA,NA
55,ragr,0.131776951,0.141203494,-0.604733295,0.868287198,34.875,8.125,1,O,I,1,2,W,I,A,N,0,0
56,mici,-0.411960977,0.058659657,-0.88666819,0.062746237,34.875,8.0625,1,O,I,1,2,W,I,Z,O,0,0
58,qula,0.897263936,0.214649675,-0.010809955,1.805337826,42.516667,22.408333,3,O,V,1,NA,H,I,A,N,0.1,NA
59,vrhe,0.064937204,0.254358494,-0.923568532,1.053442941,42.516667,22.408333,3,O,V,1,1,H,C,A,N,0.9,NA
60,vrhy,-0.110635576,0.182992274,-0.949076463,0.727805311,42.516667,22.408333,3,O,NA,NA,NA,H,C,A,N,0.67,NA
