spn	mcfr	mcnf	npfr	npnf
92	1	4	8	65
3	2	36	1	41
30	2	28	17	1476
22	3	15	7	18
43	3	48	13	5231
46	3	2	14	13
52	3	1	15	33
55	3	25	12	127
116	3	1	6	30
127	3	1	18	21
139	3	27	22	125
59	4	2	32	18
82	4	14	32	177
88	4	16	16	36
105	4	28	3	40
10	5	9	16	84
13	5	1	14	7
21	5	17	10	30
49	5	6	3	7
60	5	5	11	9
73	5	5	5	13
133	5	5	9	6
4	6	177	8	190
61	6	4	43	7
104	6	31	7	25
107	6	14	382	1275
138	6	24	30	1531
51	7	3	23	63
64	7	33	56	144
70	7	3	58	27
79	7	13	10	454
98	7	79	21	1989
129	7	15	23	30
6	8	97	8	154
15	8	54	9	37
58	8	2	22	28
62	8	6	27	23
128	8	14	21	195
136	8	9	7	11
137	8	5	7	3
65	9	31	44	156
131	9	9	36	45
135	9	11	13	17
8	10	1	124	8
40	10	6	14	10
77	10	10	15	26
117	10	12	16	20
119	10	26	10	75
18	11	10	12	8
42	11	5	844	121
47	11	1	9	8
102	11	6	41	204
115	11	8	42	15
14	12	2	18	11
134	12	11	16	8
72	13	2	10	15
94	13	24	14	21
100	13	7	15	74
9	14	40	8	128
68	14	29	20	29
76	14	26	38	102
66	15	14	23	36
87	15	6	2313	7167
125	15	40	47	59
2	16	26	3	105
28	16	43	16	44
35	16	13	16	19
39	16	4	26	8
93	16	23	287	2844
132	16	10	18	8
5	18	24	1	57
20	18	11	30	25
36	18	3	33	15
89	18	12	26	4
11	19	13	53	207
95	19	11	15	134
99	19	2	17	50
85	20	35	27	970
124	20	15	2	22
130	21	11	8	36
54	22	6	58	29
74	22	1	4	13
126	22	1	5	12
34	24	20	73	67
44	24	16	16	24
86	24	15	23	20
1	25	125	20	205
27	25	46	61	91
29	25	3	18	2
101	25	9	59	477
112	25	50	26	55
78	26	20	33	46
12	28	3	23	18
123	28	4	20	27
71	29	9	40	1
83	29	1	11	4
50	30	1	7	14
56	30	20	38	12
38	31	15	37	26
48	32	8	47	576
32	35	38	57	468
84	35	4	45	3
109	36	22	57	102
24	37	4	22	91
63	38	2	127	11
69	38	66	18	77
75	38	14	38	86
122	38	25	62	40
7	40	130	50	190
111	40	6	73	18
33	41	9	200	392
113	45	19	62	62
45	48	53	10	308
103	50	16	155	355
96	53	7	74	6
140	55	49	13	77
31	58	52	115	125
26	59	24	42	43
97	59	1	3555	375
108	63	24	53	100
53	70	9	76	13
120	76	6	111	25
118	96	21	94	100
37	103	408	77	435
110	154	14	955	61
106	174	228	366	849
