PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Miyasaka, Hitoshi; Genkai-Kato, Motomi								Seasonal change in the gut clearance rate of three stonefly species in a Japanese stream								ECOLOGICAL RESEARCH				24	1			231	234		10.1007/s11284-008-0494-0				JAN 2009	2009	We measured seasonal changes in the gut clearance rate of three stonefly species in a stream. The rate declined with water temperature. Based on the gut clearance rate obtained here, we estimated the half-reduction time of gut contents and consumption rate of stoneflies on algae. Irrespective of stonefly species, the half-reduction time in winter (2 days) was twice as long as that in summer (1 day). The areal consumption rates of stoneflies varied depending on species and season. These results imply that the seasonal consumption impact of aquatic insects can be different, despite their daily ration being similar among species.									3	0	0	0	3	0	3			0912-3814	1440-1703		WOS:000261956100025		
J	Walker, Ryan; Wilder, Shawn M.; Gonzalez, Angelica L.					Gonzalez, Angelica L./0000-0002-4636-6329			Temperature dependency of predation: Increased killing rates and prey mass consumption by predators with warming								ECOLOGY AND EVOLUTION				10	18			9696	9706		10.1002/ece3.6581		AUG 2020		SEP 2020	2020	Temperature dependency of consumer-resource interactions is fundamentally important for understanding and predicting the responses of food webs to climate change. Previous studies have shown temperature-driven shifts in herbivore consumption rates and resource preference, but these effects remain poorly understood for predatory arthropods. Here, we investigate how predator killing rates, prey mass consumption, and macronutrient intake respond to increased temperatures using a laboratory and a field reciprocal transplant experiment. Ectothermic predators, wolf spiders (Pardosa sp.), in the lab experiment, were exposed to increased temperatures and different prey macronutrient content (high lipid/low protein and low lipid/high protein) to assess changes in their killing rates and nutritional demands. Additionally, we investigate prey mass and lipid consumption by spiders under contrasting temperatures, along an elevation gradient. We used a field reciprocal transplant experiment between low (420 masl; 26 degrees C) and high (2,100 masl; 15 degrees C) elevations in the Ecuadorian Andes, using wild populations of two common orb-weaver spider species (Leucauge sp. and Cyclosa sp.) present along the elevation gradient. We found that killing rates of wolf spiders increased with warmer temperatures but were not significantly affected by prey macronutrient content, although spiders consumed significantly more lipids from lipid-rich prey. The field reciprocal transplant experiment showed no consistent predator responses to changes in temperature along the elevational gradient. Transplanting Cyclosa sp. spiders to low- or high-elevation sites did not affect their prey mass or lipid consumption rate, whereas Leucauge sp. individuals increased prey mass consumption when transplanted from the high to the low warm elevation. Our findings show that increases in temperature intensify predator killing rates, prey consumption, and lipid intake, but the responses to temperature vary between species, which may be a result of species-specific differences in their hunting behavior and sensitivity to temperature.									0	0	0	0	0	0	0			2045-7758			WOS:000561181800001	33005340	
J	Start, Denon; Kirk, Devin; Shea, Dylan; Gilbert, Benjamin				Gilbert, Benjamin/E-6616-2010	Gilbert, Benjamin/0000-0002-4947-6822			Cannibalism by damselflies increases with rising temperature								BIOLOGY LETTERS				13	5					20170175	10.1098/rsbl.2017.0175				MAY 2017	2017	Trophic interactions are likely to change under climate warming. These interactions can be altered directly by changing consumption rates, or indirectly by altering growth rates and size asymmetries among individuals that in turn affect feeding. Understanding these processes is particularly important for intraspecific interactions, as direct and indirect changes may exacerbate antagonistic interactions. We examined the effect of temperature on activity rate, growth and intraspecific size asymmetries, and how these temperature dependencies affected cannibalism in Lestes congener, a damselfly with marked intraspecific variation in size. Temperature increased activity rates and exacerbated differences in body size by increasing growth rates. Increased activity and changes in body size interacted to increase cannibalism at higher temperatures. We argue that our results are likely to be general to species with life-history stages that vary in their temperature dependencies, and that the effects of climate change on communities may depend on the temperature dependencies of intraspecific interactions.									16	0	0	0	16	0	16			1744-9561	1744-957X		WOS:000407093800014	28515331	
J	Uiterwaal, Stella F.; DeLong, John P.				Uiterwaal, Stella/AAO-3825-2020	Uiterwaal, Stella/0000-0003-2745-5817; DeLong, John/0000-0003-0558-8213			Functional responses are maximized at intermediate temperatures								ECOLOGY				101	4					e02975	10.1002/ecy.2975				APR 2020	2020	Functional responses describe how consumer foraging rates change with resource density. Despite extensive research looking at the factors underlying foraging interactions, there remains ongoing controversy about how temperature and body size control the functional response parameters space clearance (or attack) rate and handling time. Here, we investigate the effects of temperature, consumer mass, and resource mass using the largest compilation of functional responses yet assembled. This compilation contains 2,083 functional response curves covering a wide range of foragers and prey types, environmental conditions, and habitats. After accounting for experimental arena size, dimensionality of the foraging interaction, and consumer taxon, we find that both space clearance rate and handling time are optimized at intermediate temperatures (a unimodal rather than monotonic response), suggesting that the response to global climate change depends on the location of the consumer's current temperature relative to the optimum. We further confirm that functional responses are higher and steeper for large consumers and small resources, and models using consumer and resource masses separately outperformed models using consumer:resource mass ratios, suggesting that consumer and resource body mass act independently to set interaction strengths. Lastly, we show that the extent to which foraging is affected by temperature or mass depends on the taxonomic identity of the consumer and the dimensionality of the consumer-resource interaction. We thus argue that although overall body size and temperature effects can be identified, they are not universal, and therefore food web and community modeling approaches could be improved by considering taxonomic identity along with body size and unimodal temperature effects.									4	0	0	0	2	0	4			0012-9658	1939-9170		WOS:000538111800021	31944271	
J	Salahi, M.; Basheer, A. A.; Asslan, L.								Effect of Temperature on Daily Consumption Rate of the Predatory Thrips, Scolothrips sexmaculatus Pergande (Thysanoptera: Thripidae)								EGYPTIAN JOURNAL OF BIOLOGICAL PEST CONTROL				22	1			51	54						2012	2012	Scolothrips sexmaculatus Pergande is a predaceous thrips species on spider mites. Consumption rate is one of the main parameters to evaluate S. sexmaculatus potential as a biological control agent for spider mites. Its daily consumption rate on Tetranychus urticae Koch, at two different temperatures (25 and 30 degrees C) was studied under laboratory conditions. At 30 degrees C, S. sexmaculatus female consumed 56.5 eggs, 36.25 immatures and 19.25 adults/day, while the male predator consumed comparatively fewer numbers of the prey; 40.5, 31.25 and15.25, respectively. Daily consumption rate of the 2nd nymphal instar of S. sexmaculatus was higher than the one. The daily consumption rate of the predator was fewer at 25 degrees C. The present results suggest that S. sexmaculatus can effectively suppress the mite's population.									1	0	0	0	1	0	1			1110-1768	2536-9342		WOS:000307325500011		
J	Einarsson, A; Gardarsson, A; Gislason, GM; Ives, AR				Ives, Anthony/A-5698-2008; Gislason, Gisli Mar/B-2109-2008	Ives, Anthony/0000-0001-9375-9523; Gislason, Gisli Mar/0000-0001-8507-1796			Consumer-resource interactions and cyclic population dynamics of Tanytarsus gracilentus (Diptera : Chironomidae)								JOURNAL OF ANIMAL ECOLOGY				71	5			832	845		10.1046/j.1365-2656.2002.00648.x				SEP 2002	2002	1. Tanytarsus gracilentus population dynamics in Lake Myvatn show a tendency to cycle, with three oscillations occurring between 1977 and 1999 having periods of roughly 7 years. The population abundance fluctuated over four orders of magnitude.2. A partial autocorrelation function (PACF) accounting for measurement error revealed a strong positive lag-1 autocorrelation and a moderate negative lag-2 partial autocorrelation. This suggests that the dynamics can be explained by a simple second-order autoregressive process.3. We tested the alternative hypotheses that the cyclic dynamics of T gracilentus were driven by consumer-resource interactions in which T gracilentus is the consumer, or predator-prey interactions in which T gracilentus is the prey We analysed autoregressive models including both consumer-resource interactions and predator-prey interactions.4. Wing length of T gracilentus was used as a surrogate for resource abundance and/or quality, because body size is known to fluctuate with resource. abundance and quality in dipterans. Furthermore, the wing lengths of Micropsectra lindrothi, a species ecologically similar to T gracilentus, fluctuated synchronously with T gracilentus wing lengths, thereby indicating that the shared resources of these two species were indeed cycling. Wing lengths of other chironomid species were not synchronized.5. The predators of T gracilentus included midges in the genera Procladius and Macropelopia, and the fish Gasterosteus aculeatus (three-spined stickleback).6. The autoregressive models supported the hypothesis that T gracilentus dynamics were driven by consumer-resource interactions, and rejected the hypothesis that the dynamics were driven by predator-prey interactions.7. The models also revealed the consequences of consumer-resource interactions for the magnitude of fluctuations in T gracilentus abundance. Consumer-resource interactions amplified the exogenous variability affecting T gracilentus per capita population growth rates (e.g. temperature, rainfall, etc.), leading to variability in abundance more than two orders of magnitude greater than the exogenous variability.									41	0	0	0	40	0	43			0021-8790	1365-2656		WOS:000178187900012		
J	Sarnevesht, Mahshid; Gheibi, Mehdi; Hesami, Shahram; Zohdi, Hadi				Hesami, Shahram/C-3699-2011	Hesami, Shahram/0000-0002-8537-409X			Predation by Anthocoris minki pistaciae Wagner (Hemiptera: Anthocoridae) on Agonoscena pistaciae Burckhardt and Lauterer (Hemiptera: Psyllidae) at different temperatures								EGYPTIAN JOURNAL OF BIOLOGICAL PEST CONTROL				28						76	10.1186/s41938-018-0075-7				SEP 26 2018	2018	Pistachio is one of the most common tree nuts in Iran and in the world, and Agonoscena pistaciae Burckhardt and Lauterer (Hemiptera: Psyllidae) is propounded as a considerable pest of pistachio trees. Among the numerous predators, Anthocoris minki pistaciae Wagner (Hemiptera: Anthocoridae) was found as a common species in pistachio orchards of Kerman Province, Iran. The consumption rate index is essential to determine the prey-predator interaction and efficiency for biological control. On the other hand, temperature as an abiotic environmental factor has an important influence on population parameters of insects. Thus, predation rate of A. minki pistaciae feeding on A. pistaciae was evaluated at three different temperatures (17, 26, and 30 +/- 2 degrees C) with a 16L:8D photoperiod and 55 +/- 5% R.H. All of the data were analyzed by the age-stage, two-sex consumption rate, MS Chart software (Ver. 2017.05.28). Obtained results showed that the highest net predation rate (C-0) and the transformation rate from prey population to predator offspring (Q(p)) occurred at 30 degrees C (1309.13 and 54.67 prey nymphs, respectively). Moreover, the highest value for the mean prey consumption of adult insects was (1300.15 psyllid nymphs) and the highest daily mean consumption rate was calculated at this temperature. Thereupon, 30 degrees C is the best temperature for feeding A. minki pistaciae under the laboratory conditions.									2	0	0	0	1	0	2			1110-1768	2536-9342		WOS:000446281000001		
J	Chen, Yong Liang; Xu, Chun Ling; Xu, Xue Nong; Xie, Hui; Zhang, Bao Xin; Qin, Hou Guo; Zhou, Wan Qin; Li, Dun Song					ZHANG, BAOXIN/0000-0003-0362-468X			Evaluation of predation abilities of Blattisocius dolichus (Acari: Blattisociidae) on a plant-parasitic nematode, Radopholus similis (Tylenchida: Pratylenchidae)								EXPERIMENTAL AND APPLIED ACAROLOGY				60	3			289	298		10.1007/s10493-012-9650-x				JUL 2013	2013	Predation and predatory behavior of Blattisocius dolichus on Radopholus similis were tested both in experimental arenas and on potted plants. Predation occurred in all active stages of B. dolichus. Blattisocius dolichus preferred live R. similis when offered together with Caneorhabditis elegans and dead R. similis in a choice test. Consumption rate was affected by temperature, prey density and duration of starvation. Maximum consumption rates were observed at 25 A degrees C, for both adult males and females after being starved for 96 and 72 h, respectively. Consumption rate increased with increasing prey density until satiation was reached, when the predator-prey ratio was 1:250 for both male and female predators. Anthurium andraeanum seedlings, artificially infested with R. similis (1,000 per pot), were used to evaluate the biological control efficiency of B. dolichus. The nematode density decreased by 66 % 10 days after a release of 500 mites per pot.									9	1	0	0	8	1	11			0168-8162	1572-9702		WOS:000319612000002	23269565	
J	Chi, Hsin; You, Minsheng; Atlihan, Remzi; Smith, Cecil L.; Kavousi, Aurang; Ozgokce, Mehmet Salih; Guncan, Ali; Tuan, Shu-Jen; Fu, Jian-Wei; Xu, Yong-Yu; Zheng, Fang-Qiang; Ye, Bao-Hua; Chu, Dong; Yu, Yi; Gharekhani, Gholamhossein; Saska, Pavel; Gotoh, Tetsuo; Ines Schneider, Marcela; Bussaman, Prapassorn; Gokce, Ayhan; Liu, Tong-Xian				Guncan, Ali/H-5610-2011; Gokce, Ayhan/ABB-4596-2020	Guncan, Ali/0000-0003-1765-648X; Gokce, Ayhan/0000-0002-5617-1349			Age-Stage, two-sex life table: an introduction to theory, data analysis, and application								ENTOMOLOGIA GENERALIS				40	2			103	124		10.1127/entomologia/2020/0936				2020	2020	The life table is a type of research tool that is frequently used in many studies involving population and community ecology. They are the basis for many comprehensive studies in pest management, pesticide resistance, predator-prey relationships, biological control, mass-rearing and harvesting of insects, plant resistance, etc. Because the morphology, physiology, survival, fecundity, and predation/consumption rate of most arthropods will vary significantly depending on their developmental stage and sex, precise description of stage differentiation and inclusion of both sexes are critical for attaining realistic and accurate life table analyses and correctly evaluating the overall fitness of populations. Since traditional female age-specific life tables ignore the male individuals in a population and are incapable of describing the unique and important feature of stage differentiation (i.e., metamorphosis) that is a defining characteristic of insects and mites, their application to data analysis involving these groups will inevitably result in miscalculations and limit the practical application of these life tables. On the other hand, the age-stage, two-sex life table (hereafter referred to as the two-sex life table whenever appropriate), can precisely delineate stage differentiation and includes both sexes in data analysis, description, and interpretation, and in practical applications. In this review, the problems of female age-specific life tables are examined, followed by a discussion of the advantages of using the two-sex life table. Finally, applications of the two-sex life table in various types of entomological research are discussed and accompanied by examples.									10	1	0	0	5	0	11			0171-8177	2363-7102		WOS:000531551400001		
J	Soares, AO; Coderre, D; Schanderl, H				Soares, Antonio Onofre/M-4207-2013	Soares, Antonio Onofre/0000-0001-7922-6296			Effect of temperature and intraspecific allometry on predation by two phenotypes of Harmonia axyridis Pallas (Coleoptera : Coccinellidae)								ENVIRONMENTAL ENTOMOLOGY				32	5			939	944		10.1603/0046-225X-32.5.939				OCT 2003	2003	Harmonia axyridis Pallas is a highly polymorphic coccinellid with a wide geographic distribution. Genetic polymorphism seems to be the strategy adopted for facing different habitats at different times. Many modifications, such as body shape, body size, and elytral patterns, may be adaptive through imparting increased tolerance to adverse conditions. Previous studies evaluating differences in the light-colored aulica and dark colored nigra phenotypes found differences in biological performances at 20degreesC. However, whether the predatory activity of the different phenotypes changes under different temperatures remains unknown. Relative consumption rate and predation activity of fourth instars and adults of aulica and nigra phenotypes were compared at 10, 15, 20, 25, and 30degreesC. Our results showed that temperature is a limiting factor to larval and adult relative consumption rate. The thermal optimum of nigra adults was 3.7degreesC lower than that of aulica. Both larvae and adults of nigra were more stenothermic than aulica. Close to the upper limit of tolerance (30degreesC), predation activity of nigra adults was more affected than aulica. In larvae body size and shape could explain the differences observed, because aulica is significantly bigger than nigra and thus aulica presumably can better control beat exchange.									46	4	1	0	49	1	55			0046-225X			WOS:000186445200003		
