PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Nielsen, PS								Developmental time of Blattisocius tarsalis (Acari : Ascidae) at different temperatures								EXPERIMENTAL AND APPLIED ACAROLOGY				25	7			605	608		10.1023/A:1014736526463				2001	2001	The developmental time of the predatory mite Blattisocius tarsalis (Berlese) (Acari: Ascidae) was investigated at temperatures of 15, 21 and 25degreesC and 75% r.h. Eggs 1-3 days old of Ephestia kuehniella Zeller (Lep.: Pyralidae), killed by freezing, were used as food. Mean developmental times were found to be 22.4, 8.5 and 7.0 days, respectively. Within the investigated thermal limits the developmental rate showed a linear relationship with temperature and the corresponding thermal threshold for development was calculated to 10.2degreesC.									10	0	0	0	11	1	12			0168-8162			WOS:000174482000003	11989484	
J	GRAY, RH; DAUBLE, DD								BIOLOGY OF THE SAND ROLLER IN THE CENTRAL COLUMBIA RIVER								TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY				108	6			646	649		10.1577/1548-8659(1979)108<646:BOTSRI>2.0.CO;2				1979	1979										4	0	0	0	3	0	4			0002-8487			WOS:A1979JC62100013		
J	GABBUTT, PD								THE BIONOMICS OF THE WOOD CRICKET, NEMOBIUS-SYLVESTRIS (ORTHOPTERA, GRYLLIDAE)								JOURNAL OF ANIMAL ECOLOGY				28	1			15	42		10.2307/2011				1959	1959										32	0	0	0	28	0	30			0021-8790			WOS:A1959WV74900002		
J	ALM, SR; KURCZEWSKI, FE								ETHOLOGY OF ANOPLIUS-TENEBROSUS (CRESSON) (HYMENOPTERA, POMPILIDAE)								PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON				86	1			110	119						1984	1984										9	0	0	0	9	0	9			0013-8797			WOS:A1984SE80500008		
J	SEARS, MK; DUFAULT, CP								FLIGHT ACTIVITY AND OVIPOSITION OF THE CABBAGE MAGGOT, DELIA-RADICUM (DIPTERA, ANTHOMYIIDAE), IN RELATION TO DAMAGE TO RUTABAGAS								JOURNAL OF ECONOMIC ENTOMOLOGY				79	1			54	58		10.1093/jee/79.1.54				FEB 1986	1986										5	0	0	0	4	0	5			0022-0493			WOS:A1986A311700012		
J	COCKRELL, BJ								EFFECTS OF WATER DEPTH ON CHOICE OF SPATIALLY SEPARATED PREY BY NOTONECTA-GLAUCA L								OECOLOGIA				62	2			256	261		10.1007/BF00379023				1984	1984										16	0	0	0	15	0	16			0029-8549			WOS:A1984SV09400018	28310723	
J	HONEK, A								PRODUCTION OF FECES IN NATURAL-POPULATIONS OF APHIDOPHAGOUS COCCINELLIDS (COL) AND ESTIMATION OF PREDATION RATES								JOURNAL OF APPLIED ENTOMOLOGY-ZEITSCHRIFT FUR ANGEWANDTE ENTOMOLOGIE				102	5			467	476		10.1111/j.1439-0418.1986.tb00947.x				DEC 1986	1986										12	0	0	0	11	0	12			0931-2048			WOS:A1986F435500006		
J	Bonaccorso, FJ; McNab, BK								Standard energetics of leaf-nosed bats (Hipposideridae): its relationship to intermittent- and protracted-foraging tactics in bats and birds								JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY				173	1			43	53		10.1007/s00360-002-0308-6				FEB 2003	2003	Basal rates of metabolism within the insectivorous genera Hipposideros and Ascelliscus, Old World leaf-nosed bats (Hipposideridae), ranged from 58% to 77% of the mammalian standard. The larger species, Hipposideros diadema and Hipposideros maggietaylori, effectively thermoregulated at ambient temperatures down to 9 degreesC, whereas two smaller species, Hipposideros galeritus and Hipposideros cervinus, occasionally permitted body temperatures to fall below 32 degreesC. The low basal rates of metabolism in hipposiderids correlated with a predatory life-style characterized by intermittent flight from a perch to capture insects, a correlation similar to that found in nonpasserine birds. Intermittent-foraging bats and nonpasserines collectively had basal rates of metabolism that averaged 75% of those that pursue insects during protracted flight. However, no difference in basal rate was found between protractedand intermittent-foraging passerines, which had basal rates 1.8- and 2.4-times those of protracted-foraging and intermittent-foraging bats and nonpasserines, respectively. Bats, swifts, and caprimulgids that enter torpor have basal rates that are 85% of those of similar species that do not enter torpor. Body mass, order affiliation, foraging mode, and propensity to enter into torpor collectively account for 97% of the variation in basal rate of metabolism in insectivorous bats and birds. Foraging style therefore appears to be a factor contributing to the diversity in endotherm energetics. Minimal thermal conductance in the genus Hipposideros ranged from 75% to 102% of the mammalian standard. Birds have minimal thermal conductances that are 75% of mammals and intermittent foragers have minimal conductances that are 78% of protracted foragers.									12	0	0	0	12	0	12			0174-1578	1432-136X		WOS:000181647900006	12592442	
J	SCHLOSSER, IJ								FISH COMMUNITY STRUCTURE AND FUNCTION ALONG 2 HABITAT GRADIENTS IN A HEADWATER STREAM								ECOLOGICAL MONOGRAPHS				52	4			395	414		10.2307/2937352				1982	1982										490	9	0	0	469	27	525			0012-9615			WOS:A1982PR99500003		
J	Mueller, G. C.; Dryden, M. W.; Revay, E. E.; Kravchenko, V. D.; Broce, A. B.; Hampton, K.; Junnila, A.; Schlein, Y.					Junnila, Amy/0000-0002-8321-7808			Understanding attraction stimuli of the cat flea, Ctenocephalides felis, in non-chemical control methods								MEDICAL AND VETERINARY ENTOMOLOGY				25	4			413	420		10.1111/j.1365-2915.2011.00960.x				DEC 2011	2011	Comparisons were conducted of flea catches of four commercially available flea traps in the laboratory and under field conditions, in both rural and urban locations. The results clearly showed the My Flea Trap T, which utilizes an intermittent light to attract fleas, to be far superior in trapping ability to the three continuous light traps; it caught up to 23 times as many fleas as the other traps. Altering the lighting mechanism to provide continuous rather than intermittent light significantly decreased the number of fleas captured. In addition, the use of a green filter significantly increased trapping efficiency, whereas the addition of a heat source had no apparent effect.									11	0	0	0	8	0	11			0269-283X			WOS:000297548900008	21787369	
J	LAVIGNE, RJ; DENNIS, DS								ETHOLOGY OF PROCTACANTHELLA-LEUCOPOGON IN MEXICO (DIPTERA, ASILIDAE)								PROCEEDINGS OF THE ENTOMOLOGICAL SOCIETY OF WASHINGTON				82	2			260	268						1980	1980										5	0	0	0	5	0	6			0013-8797			WOS:A1980JQ72500010		
J	Lubin, Y; Henschel, J				Lubin, Yael D/F-1382-2012	Lubin, Yael D/0000-0003-3876-1668			The influence of food supply on foraging behaviour in a desert spider								OECOLOGIA				105	1			64	73		10.1007/BF00328792				JAN 1996	1996	We tested the alternative hypotheses that foraging effort will increase (energy maximizer model) or decrease (due to increased costs or risks) when food supply increased, using a Namib desert burrowing spider, Seothyra henscheli (Eresidae), which feeds mainly on ants. The web of S. henscheli has a simple geometrical configuration, comprising a horizontal mat on the sand surface, with a variable number of lobes lined with sticky silk. The sticky silk is renewed daily after being covered by wind-blown sand. In a field experiment, we supplemented the spiders' natural prey with one ant on each day that spiders had active webs and determined the response to an increase in prey. We compared the foraging activity and web geometry of prey-supplemented spiders to non-supplemented controls. We compared the same parameters in food-deprived and supplemented spiders in captivity. The results support the ''costs of foraging'' hypothesis. Supplemented spiders reduced their foraging activity and web dimensions. They moulted at least once and grew rapidly, more than doubling their mass in 6 weeks. By contrast, food-deprived spiders increased foraging effort by enlarging the diameter of the capture web, We suggest that digestive constraints prevented supplemented spiders from fully utilizing the available prey. By reducing foraging activities on the surface, spiders in a prey-rich habitat can reduce the risk of predation. However, early maturation resulting from a higher growth rate provides no advantage to S. henscheli owing to the fact that the timing of mating and dispersal are fixed by climatic factors (wind and temperature). Instead, large female body size will increase fitness by increasing the investment in young during the period of extended maternal care.									44	0	0	0	42	0	44			0029-8549	1432-1939		WOS:A1996TR65400008	28307123	
J	MALAUSA, JC								REARING OF CARABIDAE - OUTLOOK ON MASS REARING								ANNALES DE ZOOLOGIE ECOLOGIE ANIMALE				9	3			497	505						1977	1977										8	0	1	0	9	0	10			0003-4231			WOS:A1977EK73200010		
J	Bain, D; Buttemer, WA; Astheimer, L; Fildes, K; Hooper, MJ				Buttemer, William A/F-9573-2019	Buttemer, William A/0000-0003-3176-4452; Hooper, Michael/0000-0002-4161-8961; Fildes, Karen/0000-0003-3636-6365			Effects of sublethal fenitrothion ingestion on cholinesterase inhibition, standard metabolism, thermal preference, and prey-capture ability in the Australian central bearded dragon (Pogona vitticeps, Agamidae)								ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY				23	1			109	116		10.1897/02-555				JAN 2004	2004	The central bearded dragon (Pogona vitticeps) is a medium-sized lizard that is common in semiarid habitats in Australia and that potentially is at risk of fenitrothion exposure from use of the chemical in plague locust control. We examined the effects of single sublethal doses of this organophosphate (OP; low dose = 2.0 mg/kg; high dose = 20 mg/kg; control = vehicle alone) on lizard thermal preference, standard metabolic rate, and prey-capture ability. We also measured activities of plasma total cholinesterase (ChE) and acetylcholinesterase before and at 0, 2, 8, 24, 120, and 504 h after OP dosing. Predose plasma total ChE activity differed significantly between sexes and averaged 0.66 +/- 0.06 and 0.45 +/- 0.06 mumol/min/ml for males and females, respectively. Approximately 75% of total ChE activity was attributable to butyrylcholinesterase. Peak ChE inhibition reached 19% 2 It after OP ingestion in the low-dose group, and 68% 8 h after ingestion in high-dose animals. Neither OP doses significantly affected diurnal body temperature, standard metabolic rate, or feeding rate. Plasma total ChE levels remained substantially depressed up to 21 d after dosing in the high-dose group, making this species a useful long-term biomonitor of OP exposure in its habitat.									34	2	0	0	36	0	38			0730-7268			WOS:000187897200016	14768874	
