PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Supina, Jan; Bojkova, Jindriska; Boukal, David S.					Bojkova, Jindriska/0000-0003-0996-3308			Warming erodes individual-level variability in life history responses to predation risk in larvae of the mayflyCloeon dipterum								FRESHWATER BIOLOGY				65	12			2211	2223		10.1111/fwb.13619		SEP 2020		DEC 2020	2020	Warming and predation risk are ubiquitous environmental factors that can modify life histories and population dynamics of aquatic ectotherms. While separate responses to each of these factors are well understood, their joint effects on individual life histories and population dynamics remain largely unexplored. Current theory predicts that the magnitude of prey behavioural, physiological, and life history responses to predation risk should diminish with warming due to the reduced metabolic scope. However, empirical support for this prediction remains equivocal, and experiments covering a substantial proportion of individual prey ontogeny until maturation are lacking. To fill these gaps, we ran a laboratory experiment to investigate how warming and non-consumptive predation risk influence life history responses in the larvae of the mayflyCloeon dipterum, an aquatic insect with highly plastic development. We reared larvae of varying initial sizes at three temperatures (21, 24, and 27 degrees C) in a risk-free environment and under predation risk signalled by chemical cues from dragonfly larvae (Aeshna cyanea), and followed their individual survival, growth, and development until emergence. SomeC. dipterumlarvae substantially prolonged their development and the proportion of theseslowindividuals declined rapidly with temperature and increased with predation risk. We attribute this response to cohort splitting, a common life history strategy of aquatic insects and other taxa in unpredictable environment. Growth, development, and maturation varied predictably with temperature in thefastlarvae that did not prolong their development. They grew and developed faster but matured at smaller sizes with increasing temperature. Predation risk tended to slow down individual growth and development in line with the reduced metabolic scope hypothesis, but the differences were relatively minor and observable only at 21 degrees C. Survival to subimago increased with predation risk, possibly due to indirect effects mediated by dissolved micronutrients, but did not vary significantly with temperature. Survival also tended to be higher in theslowindividuals. This partly compensated for a smaller final size relative to thefastindividuals and made both strategies comparable in overall fitness. Our results show that warming may erode individual-level variability in life history responses to predation risk. This implies that warming can synchronise population dynamics and consequently make such populations more vulnerable to unpredictable disturbances.									0	0	0	0	0	0	0			0046-5070	1365-2427		WOS:000569341800001		
J	Merkel, Christoph; Heethoff, Michael; Bruckner, Adrian								Temperature Affects Chemical Defense in a Mite-Beetle Predator-Prey System								JOURNAL OF CHEMICAL ECOLOGY				46	10			947	955		10.1007/s10886-020-01212-3		SEP 2020		OCT 2020	2020	Temperature influences all biochemical and biophysiological processes within an organism. By extension, it also affects those ecological interactions that are mediated by gland-produced chemical compounds, such as reservoir-based chemical defense. Herein, we investigate how environmental temperature affects the regeneration of defensive secretions and influences the efficacy of chemical defense in a model predator-prey system: the oribatid miteArchegozetes longisetosusand the predaceous rove beetleStenus juno. Through a combination of chemical analyses, non-linear regression modeling and theoretical simulations we show that the amount of defensive secretion responded to temperature in a unimodal optimum curve: the regeneration rate followed a positive, linear relationship up to 35 degrees C, but rapidly broke down beyond this temperature ("tipping point" effect). Using functional response simulations, there is an initially positive dampening effect on the predation rate when regeneration is optimal, but at higher temperatures chemical defense does not counteract the previously described effects of elevated predatory pressure. In a larger context, our results demonstrate the need to integrate relevant environmental factors in predator-prey modeling approaches.									0	0	0	0	0	0	0			0098-0331	1573-1561		WOS:000565093500002	32875537	
J	Cubo, Jorge; Sena, Mariana V. A.; Aubier, Paul; Houee, Guillaume; Claisse, Penelope; Faure-Brac, Mathieu G.; Allain, Ronan; Andrade, Rafael C. L. P.; Sayao, Juliana M.; Oliveira, Gustavo R.				Sena, Mariana/AAC-4283-2020; CUBO, Jorge/I-8498-2016	Sena, Mariana/0000-0003-4708-999X; CUBO, Jorge/0000-0002-8160-779X			Were Notosuchia (Pseudosuchia: Crocodylomorpha) warm-blooded? A palaeohistological analysis suggests ectothermy								BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY				131	1			154	162		10.1093/biolinnean/blaa081				SEP 2020	2020	Most Notosuchia were active terrestrial predators. A few were semi-aquatic, or were insectivorous, omnivorous or herbivorous. A question relative to their thermometabolism remains to be answered: were Notosuchia warm-blooded? Here we use quantitative bone palaeohistology to answer this question. Two variables were used as proxies to infer thermometabolism: resting metabolic rate and red blood cell dimensions. Resting metabolic rate was inferred using relative primary osteon area and osteocyte size, shape and density. Blood cell dimensions were inferred using harmonic mean canal diameter and minimum canal diameter. All inferences were performed using phylogenetic eigenvector maps. Both sets of analyses suggest that the seven species of Notosuchia sampled in this study were ectotherms. Given that extant Neosuchia (their sister group) are also ectotherms, and that archosaurs were primitively endotherms, parsimony suggests that endothermy may have been lost at the node Metasuchia (Notosuchia-Neosuchia) by the Early Jurassic. Semi-aquatic taxa such as Pepesuchus may have had thermoregulatory strategies similar to those of recent crocodylians, whereas the terrestrial taxa (Araripesuchus, Armadillosuchus, Iberosuchus, Mariliasuchus, Stratiotosuchus) may have been thermoregulators similar to active predatory varanids. Thermal inertia may have contributed to maintaining a stable temperature in large notosuchians such as Baurusuchus.									0	0	0	0	0	0	0			0024-4066	1095-8312		WOS:000580983800012		
J	Twardochleb, Laura A.; Treakle, Tyler C.; Zarnetske, Phoebe L.				Zarnetske, Phoebe/C-5484-2012	Zarnetske, Phoebe/0000-0001-6257-6951			Foraging strategy mediates ectotherm predator-prey responses to climate warming								ECOLOGY				101	11						10.1002/ecy.3146		AUG 2020		NOV 2020	2020	Climate warming and species traits interact to influence predator performance, including individual feeding and growth rates. However, the effects of an important trait-predator foraging strategy-are largely unknown. We investigated the interactions between predator foraging strategy and temperature on two ectotherm predators: an active predator, the backswimmerNotonecta undulata, and a sit-and-wait predator, the damselflyEnallagma annexum. In a series of predator-prey experiments across a temperature gradient, we measured predator feeding rates on an active prey species, zooplanktonDaphnia pulex, predator growth rates, and mechanisms that influence predator feeding: body speed of predators and prey (here measured as swimming speed), prey encounter rates, capture success, attack rates, and handling time. Overall, warming led to increased feeding rates for both predators through changes to each component of the predator's functional response. We found that prey swimming speed strongly increased with temperature. The active predator's swimming speed also increased with temperature, and together, the increase in predator and prey swimming speed resulted in twofold higher prey encounter rates for the active predator at warmer temperatures. By contrast, prey encounter rates of the sit-and-wait predator increased fourfold with rising temperatures as a result of increased prey swimming speed. Concurrently, increased prey swimming speed was associated with a decline in the active predator's capture success at high temperatures, whereas the sit-and-wait predator's capture success slightly increased with temperature. We provide some of the first evidence that foraging traits mediate the indirect effects of warming on predator performance. Understanding how traits influence species' responses to warming could clarify how climate change will affect entire functional groups of species.									0	0	0	0	0	0	0			0012-9658	1939-9170		WOS:000562303400001	32726861	
J	Walker, Ryan; Wilder, Shawn M.; Gonzalez, Angelica L.					Gonzalez, Angelica L./0000-0002-4636-6329			Temperature dependency of predation: Increased killing rates and prey mass consumption by predators with warming								ECOLOGY AND EVOLUTION				10	18			9696	9706		10.1002/ece3.6581		AUG 2020		SEP 2020	2020	Temperature dependency of consumer-resource interactions is fundamentally important for understanding and predicting the responses of food webs to climate change. Previous studies have shown temperature-driven shifts in herbivore consumption rates and resource preference, but these effects remain poorly understood for predatory arthropods. Here, we investigate how predator killing rates, prey mass consumption, and macronutrient intake respond to increased temperatures using a laboratory and a field reciprocal transplant experiment. Ectothermic predators, wolf spiders (Pardosa sp.), in the lab experiment, were exposed to increased temperatures and different prey macronutrient content (high lipid/low protein and low lipid/high protein) to assess changes in their killing rates and nutritional demands. Additionally, we investigate prey mass and lipid consumption by spiders under contrasting temperatures, along an elevation gradient. We used a field reciprocal transplant experiment between low (420 masl; 26 degrees C) and high (2,100 masl; 15 degrees C) elevations in the Ecuadorian Andes, using wild populations of two common orb-weaver spider species (Leucauge sp. and Cyclosa sp.) present along the elevation gradient. We found that killing rates of wolf spiders increased with warmer temperatures but were not significantly affected by prey macronutrient content, although spiders consumed significantly more lipids from lipid-rich prey. The field reciprocal transplant experiment showed no consistent predator responses to changes in temperature along the elevational gradient. Transplanting Cyclosa sp. spiders to low- or high-elevation sites did not affect their prey mass or lipid consumption rate, whereas Leucauge sp. individuals increased prey mass consumption when transplanted from the high to the low warm elevation. Our findings show that increases in temperature intensify predator killing rates, prey consumption, and lipid intake, but the responses to temperature vary between species, which may be a result of species-specific differences in their hunting behavior and sensitivity to temperature.									0	0	0	0	0	0	0			2045-7758			WOS:000561181800001	33005340	
J	White, Dalon P.; Colombo, Robert E.; Wahl, David H.					White, Dalon/0000-0003-2960-7466			Persistently warmer temperatures lead to life history changes in bluegill sunfish (Lepomis macrochirus)								ENVIRONMENTAL BIOLOGY OF FISHES				103	10			1165	1177		10.1007/s10641-020-01009-z		AUG 2020		OCT 2020	2020	Life history strategies shape many aspects of species' ecological importance and population demographics. For ectotherms, life history strategies are highly dependent on temperature, among other environmental conditions. With projected increases in global temperatures, understanding the success of organisms under warmer conditions is critical. Due to the difficulty of establishing long-term heating studies on whole lake systems, there is little empirical evidence addressing the potential changes in life history strategies of fish in situ in response to future climate warming predictions. Here, we study early growth rates, size-at-maturation, maximum adult size, and lifespan of bluegill sunfish in three lakes in Illinois from 2013 to 2017 that experience above-ambient temperatures year-round due to artificial heating by electrical power plant cooling systems and compare these to populations in three nearby ambient lakes. Temperature changes in the heated lakes are within the range of temperature increases predicted by the year 2100. We find evidence that life history strategies and population demographics are substantially affected by warmer environments. Heated populations showed 22% faster first-year growth, 23% shorter lifespans, greater rates of maturation at small body sizes, and over a 4-fold reduction in the relative number of individuals that reach large sizes. Changes in life history strategies, including lifespan and maximum sizes, will be evident across many fish species under warmer conditions in the future and further research should aim to address how these changes will affect trophic interactions.									0	0	0	0	0	0	0			0378-1909	1573-5133		WOS:000558613600001		
J	Araspin, Laurie; Martinez, Anna Serra; Wagener, Carla; Courant, Julien; Louppe, Vivien; Padilla, Pablo; Measey, John; Herrel, Anthony				; Herrel, Anthony/C-3712-2013	Wagener, Carla/0000-0002-2248-6043; Herrel, Anthony/0000-0003-0991-4434			Rapid Shifts in the Temperature Dependence of Locomotor Performance in an Invasive Frog, Xenopus laevis, Implications for Conservation								INTEGRATIVE AND COMPARATIVE BIOLOGY				60	2			456	466		10.1093/icb/icaa010				AUG 2020	2020	Temperature is a critical abiotic factor impacting all aspects of the biology of organisms, especially in ectotherms. As such, it is an important determinant of the potential invasive ability of organisms and may limit population expansion unless organisms can physiologically respond to changes in temperature either through plasticity or by adapting to their novel environment. Here, we studied the African clawed frog, Xenopus laevis, which has become invasive on a global scale. We compared adults from an invasive population of western France with individuals from two populations in the native range in South Africa. We measured the thermal dependence of locomotor performance in adults given its relevance to dispersal, predator escape, and prey capture. Our results show significant differences in the limits of the 80% performance breadth interval for endurance with the French population showing a left shift in its limits congruent with the colder climate experienced in France. The French invasive population was introduced only about 40years ago suggesting a rapid shift in the thermal physiology. Given that all individuals were acclimated under laboratory conditions at 23 degrees C for 2 months this suggests that the invasive frogs have adapted to their new environment. These data may allow the refinement of physiologically informed species distribution models permitting better estimates of future ranges at risk of invasion.					Society-for-Integrative-and-Comparative-Biology (SICB) Symposium on Building Bridges from Genomes to Phenomes - Molecules, Methods and ModelsSociety-for-Integrative-and-Comparative-Biology (SICB) Symposium on Building Bridges from Genomes to Phenomes - Molecules, Methods and Models	JAN 03-07, 2020JAN 03-07, 2020	Soc IntegratSoc Integrat	Austin, TXAustin, TX	3	0	0	0	3	0	3			1540-7063	1557-7023		WOS:000582722400018	32159752	
J	Melzner, Frank; Buchholz, Bjoern; Wolf, Fabian; Panknin, Ulrike; Wall, Marlene					Wall, Marlene/0000-0003-2885-1301			Ocean winter warming induced starvation of predator and prey								PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES				287	1931					20200970	10.1098/rspb.2020.0970				JUL 29 2020	2020	Ocean warming impacts the fitness of marine ectothermic species, leading to poleward range shifts, re-shuffling of communities, and changes in ecosystem services. While the detrimental effects of summer heat waves have been widely studied, little is known about the impacts of winter warming on marine species in temperate regions. Many species benefit from low winter temperature-induced reductions in metabolism, as these permit conservation of energy reserves that are needed to support reproduction in spring. Here, we used a unique outdoor mesocosm system to expose a coastal predator-prey system, the sea starAsteriasand the blue musselMytilus, to different winter warming scenarios under near-natural conditions. We found that the body condition of mussels decreased in a linear fashion with increasing temperature. Sea star growth also decreased with increasing temperature, which was a function of unaltered predation rates and decreased mussel body condition.Asteriasrelative digestive gland mass strongly declined over the studied temperature interval (catwofold). This could have severe implications for reproductive capacity in the following spring, as digestive glands provide reserve compounds to maturing gonads. Thus, both predator and prey suffered from a mismatch of energy acquisition versus consumption in warmer winter scenarios, with pronounced consequences for food web energy transfer in future oceans.									0	0	0	0	0	0	0			0962-8452	1471-2954		WOS:000553111800006	32673558	
J	Whitford, Malachi D.; Freymiller, Grace A.; Higham, Timothy E.; Clark, Rulon W.					Clark, Rulon/0000-0002-1100-1856; Freymiller, Grace/0000-0002-7786-0610			The effects of temperature on the defensive strikes of rattlesnakes								JOURNAL OF EXPERIMENTAL BIOLOGY				223	14					jeb223859	10.1242/jeb.223859				JUL 2020	2020	Movements of ectotherms are constrained by their body temperature owing to the effects of temperature on muscle physiology. As physical performance often affects the outcome of predator-prey interactions, environmental temperature can influence the ability of ectotherms to capture prey and/or defend themselves against predators. However, previous research on the kinematics of ectotherms suggests that some species may use elastic storage mechanisms when attacking or defending, thereby mitigating the effects of sub-optimal temperature. Rattlesnakes (Crotalus spp.) are a speciose group of ectothermic viperid snakes that rely on crypsis, rattling and striking to deter predators. We examined the influence of body temperature on the behavior and kinematics of two rattlesnake species (Crotalus oreganus helleri and Crotalus scutulatus) when defensively striking towards a threatening stimulus. We recorded defensive strikes at body temperatures ranging from 15-35 degrees C. We found that strike speed and speed of mouth gaping during the strike were positively correlated with temperature. We also found a marginal effect of temperature on the probability of striking, latency to strike and strike outcome. Overall, warmer snakes are more likely to strike, strike faster, open their mouth faster and reach maximum gape earlier than colder snakes. However, the effects of temperature were less than would be expected for purely muscle-driven movements. Our results suggest that, although rattlesnakes are at a greater risk of predation at colder body temperatures, their decrease in strike performance may be mitigated to some extent by employing mechanisms in addition to skeletal muscle contraction (e.g. elastic energy storage) to power strikes.									1	0	0	0	1	0	1			0022-0949	1477-9145		WOS:000576693500013	32561628	
J	Ruiz, Thomas; Koussoroplis, Apostolos-Manuel; Danger, Michael; Aguer, Jean-Pierre; Morel-Desrosiers, Nicole; Bec, Alexandre					Koussoroplis, Apostolos-Manuel/0000-0002-5218-5604; DANGER, Michael/0000-0002-9874-4942; Ruiz, Thomas/0000-0001-5281-1997			U-shaped response Unifies views on temperature dependency of stoichiometric requirements								ECOLOGY LETTERS				23	5			860	869		10.1111/ele.13493				MAY 2020	2020	Temperature and nutrient availability, which are major drivers of consumer performance, are dramatically affected by global change. To date, there is no consensus on whether warming increases or decreases consumer needs for dietary carbon (C) relatively to phosphorus (P), thus hindering predictions of secondary production responses to global change. Here, we investigate how the dietary C:P ratio optimising consumer growth (TERC:P: Threshold Elemental Ratio) changes along temperature gradients by combining a temperature-dependent TERC:P model with growth experiments on Daphnia magna. Both lines of evidence show that the TERC:P response to temperature is U-shaped. This shape indicates that consumer nutrient requirements can both increase or decrease with increasing temperature, thus reconciling previous contradictive observations into a common framework. This unified framework improves our capacity to forecast the combined effects of nutrient cycle and climatic alterations on invertebrate production.									1	0	0	0	0	0	1			1461-023X	1461-0248		WOS:000525566900009	32212238	
