PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Taylor, David L.; McNamee, Jason; Lake, John; Gervasi, Carissa L.; Palance, Danial G.					Gervasi, Carissa/0000-0003-1590-9332; McNamee, Jason/0000-0002-1442-4432			Juvenile Winter Flounder (Pseudopleuronectes americanus) and Summer Flounder (Paralichthys dentatus) Utilization of Southern New England Nurseries: Comparisons Among Estuarine, Tidal River, and Coastal Lagoon Shallow-Water Habitats								ESTUARIES AND COASTS				39	5			1505	1525		10.1007/s12237-016-0089-x				SEP 2016	2016	This study evaluated the relative importance of the Narragansett Bay estuary (RI and MA, USA), and associated tidal rivers and coastal lagoons, as nurseries for juvenile winter flounder, Pseudopleuronectes americanus, and summer flounder, Paralichthys dentatus. Winter flounder (WF) and summer flounder (SF) abundance and growth were measured from May to October (2009-2013) and served as indicators for the use and quality of shallow-water habitats (water depth < 1.5-3.0 m). These bioindicators were then analyzed with respect to physiochemical conditions to determine the mechanisms underlying intraspecific habitat selection. WF and SF abundances were greatest in late May and June (maximum monthly mean = 4.9 and 0.55 flounder/m(2) for WF and SF, respectively) and were significantly higher in the tidal rivers relative to the bay and lagoons. Habitat-related patterns in WF and SF abundance were primarily governed by their preferences for oligohaline (0.1-5 ppt) and mesohaline (6-18 ppt) waters, but also their respective avoidance of hypoxic conditions (< 4 mg DO/L) and warm water temperatures (> 25 A degrees C). Flounder habitat usage was also positively related to sediment organic content, which may be due to these substrates having sufficiently high prey densities. WF growth rates (mean = 0.25 +/- 0.14 mm/day) were negatively correlated with the abundance of conspecifics, whereas SF growth (mean = 1.39 +/- 0.46 mm/day) was positively related to temperature and salinity. Also, contrary to expectations, flounder occupied habitats that offered no ostensible advantage in intraspecific growth rates. WF and SF exposed to low salinities in certain rivers likely experienced increased osmoregulatory costs, thereby reducing energy for somatic growth. Low-salinity habitats, however, may benefit flounder by providing refugia from predation or reduced competition with other estuarine fishes and macroinvertebrates. Examining WF and SF abundance and growth across each species' broader geographic distribution revealed that southern New England habitats may constitute functionally significant nurseries. These results also indicated that juvenile SF have a geographic range extending further north than previously recognized.									13	0	0	0	12	0	13			1559-2723	1559-2731		WOS:000380268400015	27746705	
J	Mariella Canales, T.; Law, Richard; Blanchard, Julia L.					Blanchard, Julia/0000-0003-0532-4824			Shifts in plankton size spectra modulate growth and coexistence of anchovy and sardine in upwelling systems								CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES				73	4			611	621		10.1139/cjfas-2015-0181				APR 2016	2016	Fluctuations in the abundance of anchovy (Engraulis spp.) and sardine (Sardinops scigax) are widespread in marine ecosystems, but the causes still remain uncertain. Differences between the planktonic prey availability, selectivity, and predation between anchovy and sardine have been suggested as factors influencing their dynamics. Using a dynamical multispecies size -spectrum model, we explore the consequences of changes in plankton size composition, together with intraguild predation and cannibalism, on the coexistence of these species. The shift towards smaller plankton has led to a reduction in the growth rate of both species. The effect was more deleterious on anchovy growth because it is unable to filter small particles. In model scenarios that included the effects of cannibalism and predation, anchovy typically collapsed under conditions favouring smaller sized plankton. The two species coexisted under conditions of larger sized plankton, although strong predation in conjunction with weak cannibalism led to the loss of sardine. The model provides new testable predictions for the consequences of plankton size structure on anchovy and sardine fluctuations. Further empirical work is needed to test these predictions in the context of climate change.					Symposium on Size-Based Approaches at the 144th Meeting of the American-Fisheries-SocietySymposium on Size-Based Approaches at the 144th Meeting of the American-Fisheries-Society	AUG, 2014AUG, 2014	Amer Fisheries Soc; Canadian Network Aquat Ecosystem ServAmer Fisheries Soc; Canadian Network Aquat Ecosystem Serv	Quebec, CANADAQuebec, CANADA	7	0	0	0	6	1	7			0706-652X	1205-7533		WOS:000375424700014		
J	CROSSMAN, EJ								A PREDATOR PREY INTERACTION IN FRESHWATER FISH								JOURNAL OF THE FISHERIES RESEARCH BOARD OF CANADA				16	3			269	281		10.1139/f59-022				1959	1959										14	0	0	0	13	0	14						WOS:A1959WZ51900002		
J	Xia, Bin; Zou, Zhiwen; Li, Pengxin; Lin, Peng								Effect of temperature on development and reproduction of Neoseiulus barkeri (Acari: Phytoseiidae) fed on Aleuroglyphus ovatus								EXPERIMENTAL AND APPLIED ACAROLOGY				56	1			33	41		10.1007/s10493-011-9481-1				JAN 2012	2012	The effect of five constant temperatures (16, 20, 24, 28 and 32A degrees C) on the development, survival and reproduction of Neoseiulus barkeri Hughes fed on Aleuroglyphus ovatus Toupeau (Acari: Acaridae) was examined in the laboratory at 85% relative humidity. Development time of different immature stages decreased with increasing temperature, total egg-to-adult development time varied from 5.0 +/- A 0.13 to 17.5 +/- A 0.29 days. The lower thermal threshold for development was 9.7 +/- A 2.48A degrees C and the thermal constant from egg to adult was 111.1 +/- A 12.34 degree-days. Pre- and post-oviposition period and female longevity all shortened as temperature increased. The longest oviposition period was observed at 24A degrees C with 20.4 +/- A 1.13 days. At 20, 24, 28 and 32A degrees C, mated females laid on average 0.7 +/- A 0.08, 1.5 +/- A 0.04, 1.6 +/- A 0.11 and 1.5 +/- A 0.11 eggs per day, respectively, but no eggs were laid at 16A degrees C. Both the maximum fecundity (30.9 eggs per female) and the highest intrinsic rate of increase (r (m) = 0.166) were obtained at 28A degrees C. The results of this study indicated that a mass rearing of N. barkeri with A. ovatus as prey is feasible at the appropriate temperature.									24	0	0	0	25	0	28			0168-8162	1572-9702		WOS:000297629000004	21792653	
J	Bereczki, Krisztina; Molnar, Dorottya; Csoka, Gyorgy; Baldi, Andras				Baldi, Andras/A-7501-2008	Baldi, Andras/0000-0001-6063-3721			Factors affecting the bird predation of low density gypsy moth egg masses in three types of hardwood forests in southwest Hungary								BULLETIN OF INSECTOLOGY				70	2			201	207						DEC 2017	2017	Bird predation on gypsy moth Lymantria dispar L. (Lepidoptera Erebidae) egg masses may have a significant role in the gypsy moth population regulation; therefore the understanding of this process is a key issue to prevent large scale damage. In this paper, we aimed to quantify the winter predation of egg masses by birds and to reveal what factors affect its efficiency in three types of Central European hardwood forests. We detected a predation frequency of 20%, i.e. every fifth egg masses was destroyed at some extent by birds, while the mean percentage of removed surface per attacked egg masses was 35%. We measured the size of egg masses, their location on the trunk and environmental variables. Factors affecting predation frequency as well as the removed surface differed among forest stands characterized by different tree species composition. In beech dominated forest, egg masses located on the north and northeast side of trees were more frequently attacked than egg masses located in any other directions. In hornbeam forests, the predation frequency increased with the height on the trunk, while in Turkey oak forests, only the size of egg masses had a significant positive effect on egg mass predation rate. Egg mass size also affected the percentage of removed surface. Tree species, tree diameter and shrub cover had no significant effect on egg mass predation. Thus, we can conclude that egg mass predation is influenced rather by egg mass location or size than by other habitat characteristics.									1	0	0	0	1	0	1			1721-8861			WOS:000413145200006		
J	Solomon, Joshua A.; Donnelly, Melinda J.; Walters, Linda J.								Effects of Sea Level Rise on the Intertidal Oyster Crassostrea Virginica by Field Experiments								JOURNAL OF COASTAL RESEARCH						68		57	64		10.2112/SI68-008.1				FAL 2014	2014	Sea level rise predictions for the next century range from 20 to 200 cm. Coupled with climate change-related increases in storm activity and associated alterations to sediment transport, estuaries and the organisms that live in them may be impacted. Along the eastern seaboard and gulf coast of the United States, Crassostrea virginica is an economically and ecologically important estuarine shellfish species. In an effort to understand potential effects of climate change on intertidal Crassostrea virginica, a novel method for manipulating inundation time of intertidal oysters was developed to examine effects of altering daily inundation time on sedimentation, predation, and competition. Called the oyster ladder, this method consists of suspending oyster shell as recruitment substrate at different elevations within the intertidal zone between mean low and mean high water. A six-week experiment was deployed during the peak of the 2011 oyster recruitment season at two sites within Apalachicola Bay, Florida. Data was collected on oyster recruitment, shell length, presence of sessile competitors, and sedimentation. Mean oyster shell length peaked at 95% time inundated, while recruitment peaked at 80% time inundation. Maximum sedimentation occurred at the highest inundation times (95% time inundation). The oyster ladder proved to be an effective tool for manipulating inundation times for C. virginica and suggests that sea level rise will have an effect on abundance, growth and survival of this of intertidal species.									8	0	0	0	5	0	8			0749-0208	1551-5036		WOS:000347145600009		
J	SOGARD, SM								VARIABILITY IN GROWTH-RATES OF JUVENILE FISHES IN DIFFERENT ESTUARINE HABITATS								MARINE ECOLOGY PROGRESS SERIES				85	1-2			35	53		10.3354/meps085035				AUG 1992	1992	Estuaries are vital nursery grounds for many marine fishes. During initial estuarine residence, juvenile fishes presumably benefit greatly from rapid growth, which can diminish susceptibility to size-selective predators. To measure the degree of variability in growth rates across different estuarine sites and habitats, I conducted caging experiments with 3 species (Pseudopleuronectes americanus, Tautoga onitis, and Gobiosoma bosci) at 4 sites in New Jersey, USA, estuaries. Two sites were in an estuary with dense eelgrass Zostera marina beds (Little Egg Harbor) and 2 were in an estuary lacking eelgrass but supporting patchy accumulations of the macroalgae Ova lactuca (Great Bay). Experiments were conducted in vegetated (either Zostera or Ulva) and unvegetated habitats at each site. Relative differences in growth rates among the 4 sites and between the 2 habitats were generally maintained across experiments within species, suggesting a consistency in foraging value. For all 3 species, growth was highest at a Great Bay site and generally lowest at a Little Egg Harbor site. The presence of vegetation (either Zostera or Ulva) was beneficial to growth only for T. onitis. Observed patterns in water temperature, sediment structure, and food availability were potential factors effecting the observed differences in growth rates. Natural densities of the 3 fish species were quantified and compared to the results of growth experiments to determine if there were trade-offs between rapid growth and other attributes of habitat quality. P. americanus and T. onitis were more abundant in areas supporting faster growth, but the complete absence of tautog from unvegetated substrates suggested some degree of habitat avoidance. A clear trade-off between habitat selection and foraging quality occurred for G. bosci; gobies were most abundant inside eelgrass beds, which supported the poorest growth rates.									186	1	0	0	161	0	188			0171-8630			WOS:A1992JP18400004		
J	Uitto, A; Hallfors, S					Uitto, Anna/0000-0002-1568-7808			Grazing by mesozooplankton and metazoan microplankton on nanophytoplankton in a mesocosm experiment in the northern Baltic								JOURNAL OF PLANKTON RESEARCH				19	6			655	673		10.1093/plankt/19.6.655				JUN 1997	1997	Grazing by two size classes of metazooplankton, mesozooplankton(Meso; >140 mu m in size) and metazoan microplankton (Micro; 100-140 mu m in size), was studied in a mesocosm experiment carried out off the SW coast of Finland, northern Baltic Sea, in late summer. During the 3 week study, the mesocosm was manipulated periodically by the addition of nutrient (ammonium and phosphate) and fish predators (stickleback fry). During the experimental period, the mesocosm was sampled five times to measure metazooplankton grazing, using 5 mu m pre-filtered and C-14-labelled natural nanoplankton as food. In spite of the presence of fish, Meso biomass increased throughout the experimental period. The biomass of Meso was composed mostly of different copepodite stages of Eurytemora affinis and the cladoceran Bosmina longispina maritima, and that of Micro by biomass of copepod nauplii NIII-NVI. Owing to its larger biomass, Meso could exert a greater grazing pressure on the nanophytoplankton than could Micro. The biomass specific clearance rate (BSCR) was generally the same for both groups, occasionally higher in Micro. The BSCR increased during the first half of the study period, after which the clearance rates were depressed, coinciding with a sudden decrease in water temperature. The daily ingestion rate on nanophytoplankton (% of biomass as carbon) varied between 3 and 96% for Meso, and between 4 and 130% for Micro. When integrated over the study period, grazing on nanophytoplankton was estimated to provide about 60% of the carbon requirements of metazooplankton, respectively; thus, protists were probably important food. The overall gross growth efficiency for the whole metazooplankton community was estimated to be 32%. Meso and Micro grazing was estimated to account for 8 and 2% of primary production, indicating that they were not able to control phytoplankton primary production enriched by nutrient additions.									6	0	0	0	5	0	6			0142-7873	1464-3774		WOS:A1997XE19900001		
J	Hampton, Paul M.								Ecology of the Lesser Siren, Siren intermedia, in an Isolated Eastern Texas Pond								JOURNAL OF HERPETOLOGY				43	4			704	709		10.1670/08-168.1				DEC 2009	2009	The Lesser Siren (Siren intermedia) is a fully aquatic salamander with functionally limited overland dispersal. Details of the ecology of this species throughout its geographic range and diversity of habitats are limited. In this study, I investigated the ecology of a presumably isolated population of S. intermedia in eastern Texas. The conservative estimated population density was 0.33 sirens/m(2) with a standing crop biomass of 9.66 g/m(2). Growth rates averaged 0.022 mm/day in total length, slightly slower than other populations. Growth rate was not significantly different between males and females, nor was it correlated with size. The diet of the study population included at least 10 different taxa, of which tadpoles and snails (Order Basommatophora) were the most important prey. Like other populations, activity was highest during late winter and early spring, which coincides with the breeding season. The abundance of siren captures was weakly influenced by water temperature but not correlated with precipitation. Bite marks are hypothesized to be a result of siren courtship behavior. The abundance of males and females captured with fresh bite marks was significantly correlated with the number of gravid females. Because sirens are predatory generalists and represent a significant proportion of biomass in many aquatic environments, it is important to understand siren ecology throughout its geographic range and broad use of habitat types.									7	0	0	0	8	0	8			0022-1511	1937-2418		WOS:000273444800019		
J	TREASURER, J								PREY SELECTION AND DAILY FOOD-CONSUMPTION BY A CLEANER FISH, CTENOLABRUS-RUPESTRIS (L), ON FARMED ATLANTIC SALMON, SALMO-SALAR L								AQUACULTURE				122	4			269	277		10.1016/0044-8486(94)90337-9				MAY 15 1994	1994	Feeding electivity and daily food consumption by a cleaner fish goldsinny wrasse, Ctenolabrus rupestris (L.) on sea lice, Lepeophtheirus salmonis Kroyer, on farmed Alantic salmon, Salmo salar L., was assessed by comparison of lice numbers and developmental stages on salmon in pens with and without wrasse. Mobile stages of L. salmonis in the pen with wrasse remained low (1-8 per fish) with no requirement for chemical treatment compared with a heavy infestation (up to 50) on the control pen. Wrasse selectively preyed on the larger lice stages, mainly adults and female pre-adult Stage II, and this was measured and statistically tested using Pearre's selection index. The mean number of mobile L. salmonis consumed daily by an individual wrasse varied from 26-46 at water temperatures of 10(-12)-degrees-C and daily food consumption was 1. 18-2.72% of body weight.									26	0	0	0	24	0	27			0044-8486			WOS:A1994NM17100001		
