PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Walker, Ryan; Wilder, Shawn M.; Gonzalez, Angelica L.					Gonzalez, Angelica L./0000-0002-4636-6329			Temperature dependency of predation: Increased killing rates and prey mass consumption by predators with warming								ECOLOGY AND EVOLUTION				10	18			9696	9706		10.1002/ece3.6581		AUG 2020		SEP 2020	2020	Temperature dependency of consumer-resource interactions is fundamentally important for understanding and predicting the responses of food webs to climate change. Previous studies have shown temperature-driven shifts in herbivore consumption rates and resource preference, but these effects remain poorly understood for predatory arthropods. Here, we investigate how predator killing rates, prey mass consumption, and macronutrient intake respond to increased temperatures using a laboratory and a field reciprocal transplant experiment. Ectothermic predators, wolf spiders (Pardosa sp.), in the lab experiment, were exposed to increased temperatures and different prey macronutrient content (high lipid/low protein and low lipid/high protein) to assess changes in their killing rates and nutritional demands. Additionally, we investigate prey mass and lipid consumption by spiders under contrasting temperatures, along an elevation gradient. We used a field reciprocal transplant experiment between low (420 masl; 26 degrees C) and high (2,100 masl; 15 degrees C) elevations in the Ecuadorian Andes, using wild populations of two common orb-weaver spider species (Leucauge sp. and Cyclosa sp.) present along the elevation gradient. We found that killing rates of wolf spiders increased with warmer temperatures but were not significantly affected by prey macronutrient content, although spiders consumed significantly more lipids from lipid-rich prey. The field reciprocal transplant experiment showed no consistent predator responses to changes in temperature along the elevational gradient. Transplanting Cyclosa sp. spiders to low- or high-elevation sites did not affect their prey mass or lipid consumption rate, whereas Leucauge sp. individuals increased prey mass consumption when transplanted from the high to the low warm elevation. Our findings show that increases in temperature intensify predator killing rates, prey consumption, and lipid intake, but the responses to temperature vary between species, which may be a result of species-specific differences in their hunting behavior and sensitivity to temperature.									0	0	0	0	0	0	0			2045-7758			WOS:000561181800001	33005340	
J	Lau, Edward Tak Chuen; Leung, Kenneth Mei Yee; Karraker, Nancy Elizabeth				Leung, Kenneth Mei Yee/C-1055-2009	Leung, Kenneth Mei Yee/0000-0002-2164-4281			Native amphibian larvae exhibit higher upper thermal limits but lower performance than their introduced predator Gambusia affinis								JOURNAL OF THERMAL BIOLOGY				81				154	161		10.1016/j.jtherbio.2019.02.014				APR 2019	2019	Information on the thermal limits and physiology of ectothermic amphibians is crucial to our understanding of their ecology in the natural environment, particularly with predicted global changes in climate. We documented the thermal limits of larvae of three amphibian species native to Hong Kong, and their introduced, invasive predator, the mosquitofish (Gambusia affinis). We then used larvae of the brown tree frog Polypedates megacephalus as a model amphibian to further investigate growth, oxygen consumption rate and heat shock protein expression with changes in thermal regime. We found that G. affinis was the most tolerant of low temperatures but also the least tolerant of high temperatures. Despite the higher thermal tolerance of the amphibian larvae, further investigation on P. megacephalus demonstrated that optimal temperatures for physiological performance fall within a range of 18.0-21.6 degrees C, which is far lower than its upper thermal limit, implying that thermal stress occurs during part of the larval stage under natural environmental conditions. This could mean a reduction in their capacity to deal with other stressors such as pollution and predators, and that G. affinis may have an advantage over native amphibians.									0	0	0	0	0	0	0			0306-4565			WOS:000466820900020	30975413	
J	Chappell, MA; Bachman, GC; Hammond, KA								The heat increment of feeding in house wren chicks: Magnitude, duration, and substitution for thermostatic costs								JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY				167	4			313	318		10.1007/s003600050079				MAY 1997	1997	The heat increment of feeding (HIF), a transient postprandial increase in metabolic rate, is the energy cost of processing a meal. We measured HIF in house wren chicks (Troglodytes aedon) ranging in mass from 1.6 to 10.3 g. This mass range (age 2-10 days) spanned a transition from blind, naked, ectothermic chicks through alert, endothermic birds with nearly complete feathering. We fed chicks crickets (2.7-10% of chick body mass) and determined HIF from continuous measurements of oxygen consumption rate (VO2) before and after meals. At warm ambient temperatures (T-a) of 33-36 degrees C, the magnitude of HIF (in mi O-2 or joules) was linearly related to meal mass and was not affected by chick mass. HIF accounted for 6.3% of ingested energy, which is within the range of results for other carnivorous vertebrates. The duration of HIF was inversely related to chick mass; 10-g chicks processed a standard meal approximately twice as fast as 2-g chicks. HIF duration increased with increasing meal mass. The peak VO2 during HIF, expressed as the factorial increase above resting metabolism, was independent of body mass and meal mass. In large, endothermic chicks ( > 8 g), HIF substituted for thermoregulatory heat production at low T-a.									56	0	0	0	54	0	56			0174-1578			WOS:A1997XB70600010		
J	Zhang, Peiyu; Blonk, Brigitte A.; van den Berg, Reinier F.; Bakker, Elisabeth S.				Bakker, Elisabeth S/B-7185-2008; KNAW, NIOO-KNAW/A-4320-2012	Bakker, Elisabeth S/0000-0002-5900-9136; KNAW, NIOO-KNAW/0000-0002-3835-159X; van den Berg, Reinier/0000-0003-0983-2041			The effect of temperature on herbivory by the omnivorous ectotherm snail Lymnaea stagnalis								HYDROBIOLOGIA				812	1	SI		147	155		10.1007/s10750-016-2891-7				MAY 2018	2018	Rising temperatures likely affect the trophic interactions in temperate regions as global warming progresses. An open question is how a temperature rise may affect consumer pressure and plant abundance in shallow aquatic ecosystems, where most consumers are omnivorous. Interestingly, herbivory (plant-eating) is more prevalent toward low latitudes in ectotherms such as fish and aquatic invertebrates, and this may be temperature driven. We used pond snails (Lymnaea stagnalis L.) as a model aquatic ectotherm species and tested their consumption of both animal prey (Gammarus pulex L.) and plant material (Potamogeton lucens L.) at three different temperatures (15, 20, and 25A degrees C). Higher temperatures led to higher consumption rates by the omnivore on both plant food and animal prey when fed separately. When the food was offered simultaneously, the pond snails consistently preferred animal prey over plant material at all tested temperatures. However, the omnivore did consume plant material even though they had enough animal prey available to them. Based on our experiments, we conclude that with increasing temperatures, L. stagnalis will only increase their consumption rates but not change food preference. Further studies are needed to test the generality of our findings across aquatic species to predict the effect of warming on aquatic plant consumption.									16	0	0	0	16	0	16			0018-8158	1573-5117		WOS:000426783400011		
J	Vangansbeke, Dominiek; Duc Tung Nguyen; Audenaert, Joachim; Verhoeven, Ruth; Gobin, Bruno; Tirry, Luc; De Clercq, Patrick				Nguyen, Duc Tung/P-1316-2017; De Clercq, Patrick/B-5721-2015	Nguyen, Duc Tung/0000-0002-8954-3604; De Clercq, Patrick/0000-0003-0664-1602			Prey consumption by phytoseiid spider mite predators as affected by diurnal temperature variations								BIOCONTROL				60	5			595	603		10.1007/s10526-015-9677-0				OCT 2015	2015	The consumption rate of an ectothermic predator is highly temperature-dependent and is a key driver of pest-predator population interactions. Not only average daily temperature, but also diurnal temperature variations may affect prey consumption and life history traits of ectotherms. In the present study, we evaluated the impact of temperature alternations on body size, predation capacity and oviposition rate of the predatory mites Phytoseiulus persimilis Athias-Henriot and Neoseiulus californicus McGregor (Acari: Phytoseiidae) when presented with eggs of their natural prey, the two-spotted spider mite Tetranychus urticae Koch (Acari: Tetranychidae). For both predators, mean daily temperature as well as temperature alternation had a substantial impact on the number of prey consumed. At lower average temperatures, more eggs were killed under an alternating temperature regime (20 A degrees C/5 A degrees C and 25 A degrees C/10 A degrees C) than at the corresponding mean constant temperatures (15 and 20 A degrees C). At higher average temperatures (> 25 A degrees C), however, the opposite was observed with higher numbers of prey killed at constant temperatures than at alternating temperatures. At 25 A degrees C, temperature variation had no effect on the predation capacity. A similar trend as for the predation rates was observed for the oviposition rates of the phytoseiids. Body size of N. californicus was affected both by average daily temperature and temperature variation, with smaller adult females emerging at alternating temperatures than at constant temperatures, whereas for P. persimilis, temperature variation had no impact on its body size. Our results demonstrate that temperature variations are likely to affect biological control of T. urticae by the studied phytoseiid predators.									6	0	0	0	6	0	6			1386-6141	1573-8248		WOS:000360999800002		
J	Rodgers, Essie M.; Franklin, Craig E.				; Franklin, Craig/G-7343-2012	Rodgers, Essie/0000-0003-3514-3653; Franklin, Craig/0000-0003-1315-3797			Physiological mechanisms constraining ectotherm fright-dive performance at elevated temperatures								JOURNAL OF EXPERIMENTAL BIOLOGY				220	19			3556	3564		10.1242/jeb.155440				OCT 1 2017	2017	Survival of air-breathing, diving ectotherms is dependent on their capacity to optimise the time available for obligate underwater activities, such as predator avoidance. Submergence times are thermally sensitive, with dive durations significantly reduced by increases in water temperature, deeming these animals particularly vulnerable to the effects of climate change. The physiological mechanisms underlying this compromised performance are unclear but are hypothesised to be linked to increased oxygen demand and a reduced capacity for metabolic depression at elevated temperatures. Here, we investigated how water temperature (both acute and chronic exposures) affected the physiology of juvenile estuarine crocodiles (Crocodylus porosus) performing predator avoidance dives (i.e. fright-dives). Diving oxygen consumption, 'fright' bradycardia, haematocrit and haemoglobin (indicators of blood oxygen carrying capacity) were assessed at two test temperatures, reflective of different climate change scenarios (i.e. current summer water temperatures, 28 degrees C, and 'high' climate warming, 34 degrees C). Diving oxygen consumption rate increased threefold between 28 and 34 degrees C (Q(10)=7.4). The capacity to depress oxygen demand was reduced at elevated temperatures, with animals lowering oxygen demand from surface levels by 52.9 +/- 27.8% and 27.8 +/- 16.5% (means +/- s.e.m.) at 28 degrees C and 34 degrees C, respectively. Resting and post-fright-dive haematocrit and haemoglobin were thermally insensitive. Together these findings suggest decrements in fright-dive performance at elevated temperatures stem from increased oxygen demand coupled with a reduced capacity for metabolic depression.									4	0	0	0	3	0	4			0022-0949	1477-9145		WOS:000412240500025	28978640	
J	Moenickes, Sylvia; Frassl, Marieke; Schlief, Jeanette; Kupisch, Moritz; Mutz, Michael; Suhling, Frank; Richter, Otto				Frassl, Marieke Anna/D-8494-2018; Suhling, Frank/AAB-8460-2019	Frassl, Marieke Anna/0000-0001-8843-8477; Suhling, Frank/0000-0003-2922-0261			Temporal patterns of populations in a warming world: a modelling framework								MARINE BIOLOGY				159	11	SI		2605	2620		10.1007/s00227-012-1996-4				NOV 2012	2012	In this paper, we present an approach for describing the environmentally induced temporal pattern of structured populations by partial integro-differential equations. Populations are structured according to size or stage. Growth, energy allocation and stage transitions are affected by environmental conditions of which temperature, photoperiod, water depth and food supply were taken into account. The resulting modelling framework was applied to describe, analyse and predict alterations in populations with continuous development, populations with distinct state structures and interacting populations. Our exemplary applications consider populations of freshwater Amphipoda, Isopoda and Odonata. The model was capable of simulating life cycle alterations in dependence on temperature in interaction with other environmental factors: (1) population dynamics, (2) seasonal regulation, (3) water depth-dependent dispersal, (4) intraguild predation and (5) consumer-resource dynamics.									4	0	0	0	5	0	5			0025-3162	1432-1793		WOS:000310586900019		
J	Zhang, Peiyu; van Leeuwen, Casper H. A.; Bogers, Dagmar; Poelma, Marjolein; Xu, Jun; Bakker, Elisabeth S.								Ectothermic omnivores increase herbivory in response to rising temperature								OIKOS				129	7			1028	1039		10.1111/oik.07082		MAR 2020		JUL 2020	2020	Higher temperatures as a consequence of global climate change may considerably alter trophic interactions. Ectothermic herbivores and carnivores generally ingest more food with rising temperature as their metabolic rates increase with rising temperature. However, omnivorous ectotherms may respond in two ways: quantitatively by consuming more food and qualitatively by altering their degree of herbivory or carnivory through a diet shift. We hypothesize that rising temperature will increase herbivory of ectothermic omnivores as herbivory increases towards the equator. We tested the hypothesis in a freshwater model system in which ectothermic omnivores are prevalent, by applying two approaches, a temperature manipulation experiment and a literature study. We performed feeding trials with a juvenile aquatic ectothermic omnivore (pond snail Lymnaea stagnalis) at different temperatures ranging from 12 to 27 degrees C, supplying them with both animal food and plant material, and directly quantified their consumption rates over time. The results showed that snails cultured at high temperatures (> 21 degrees C) increased the proportion of plant material in their diets after 17 days, which supports our hypothesis. In the literature survey, we found that rising temperature increased herbivory in multiple aquatic animal taxa, including zooplankton, amphibians, crayfish, fish and snails. This suggests that aquatic ectothermic omnivores might commonly increase herbivory with rising temperature. The mechanisms underlying this temperature-induced diet shift are not sufficiently explained by current theories related to the physiology, metabolism and stoichiometry of omnivores. We propose to incorporate the animals' ontogenetic development in the temperature metabolic stoichiometry hypothesis as a complementary explanation for the diet shift, namely that the diet shift could be due to faster development of the ectotherms and an earlier ontogenetic diet shift at higher temperatures. We conclude that future global warming will most likely alter food webs by increasing the top-down control of aquatic herbivores and omnivores on primary producers.									2	0	0	0	1	0	2			0030-1299	1600-0706		WOS:000522509500001		
J	Culler, Lauren E.; McPeek, Mark A.; Ayres, Matthew P.				Ayres, Matthew/AAI-6873-2020; Culler, Lauren E/W-5244-2019	Ayres, Matthew/0000-0001-6120-9068; Culler, Lauren/0000-0003-2300-5405			Predation risk shapes thermal physiology of a predaceous damselfly								OECOLOGIA				176	3			653	660		10.1007/s00442-014-3058-8				NOV 2014	2014	Predation risk has strong effects on organismal physiology that can cascade to impact ecosystem structure and function. Physiological processes in general are sensitive to temperature. Thus, the temperature at which predators and prey interact may shape physiological response to predation risk. We measured and evaluated how temperature and predation risk affected growth rates of predaceous damselfly nymphs (Enallagma vesperum, Odonata: Coenagrionidae). First, we conducted growth trials at five temperatures crossed with two levels of predation risk (fish predator present versus absent) and measured growth rates, consumption rates, assimilation efficiencies, and production efficiencies of 107 individual damselflies. Second, we used a model to evaluate if and how component physiological responses to predation risk affected growth rates across temperatures. In the absence of mortality threat, growth rates of damselflies increased with warming until about 23.5 A degrees C and then began to decline, a typical unimodal response to changes in temperature. Under predation risk, growth rates were lower and the shape of the thermal response was less apparent. Higher metabolic and survival costs induced by predation risk were only partially offset by changes in consumption rates and assimilation efficiencies and the magnitude of non-consumptive effects varied as a function of temperature. Furthermore, we documented that thermal physiology was mediated by predation risk, a known driver of organismal physiology that occurs in the context of species interactions. A general understanding of climatic impacts on ectothermic populations requires consideration of the community context of thermal physiology, including non-consumptive effects of predators.									34	1	0	0	31	1	35			0029-8549	1432-1939		WOS:000344599000005	25234372	
J	Huryn, Alexander D.; Benstead, Jonathan P.								Seasonal changes in light availability modify the temperature dependence of secondary production in an Arctic stream								ECOLOGY				100	6					e02690	10.1002/ecy.2690				JUN 2019	2019	Light and temperature are key drivers of ecosystem productivity, but synchrony of their annual cycles typically obscures their relative influence. The coupling of annual light-temperature regimes also drives complementary seasonal cycles of energy supply (primary production) and demand (metabolism), perhaps promoting temporal stability in carbon (C) storage and food web production that may be difficult to discern in most ecosystems. Spring-fed streams in the Arctic are subject to extreme annual fluctuations in light availability but have relatively stable water temperatures, which allows assessment of the independent effects of light and temperature. We used the unusual annual light and temperature regimes of Ivishak Spring, Alaska, USA (latitude 69 degrees N, annual water temperature range 4-7 degrees C) to test predictions about the effect of light availability on consumer productivity with minimally confounding effects of temperature. We predicted that (1) annual patterns of secondary production would follow patterns of primary production, rather than temperature, due to organic C limitation during winter darkness when photosynthesis is effectively halted, (2) C limitation would propagate from primary producers upward through several trophic levels, (3) the lack of temperature dependence during winter darkness would be expressed as anomalous Arrhenius plots of growth rates indicating decoupled production-temperature relationships, and (4) consumer diets would reflect C limitation during winter. As predicted, we found (1) lowest production by macroinvertebrates and Salvelinus malma (Dolly Varden char) at the lowest light levels rather than the lowest temperatures, (2) apparent winter C limitation propagated upward through three trophic levels, (3) anomalous Arrhenius plots indicating lack of temperature dependence of consumer growth rates during winter, and (4) lowest consumption of diatoms (by macroinvertebrates) and invertebrate prey (by S. malma) during winter. Together, these results indicate that light drives annual patterns of animal production in Ivishak Spring, with stable annual temperatures likely exacerbating C limitation of ectotherm metabolism during winter. The timing and severity of winter C limitation in this unusual Arctic-spring food web highlight a fundamental role for light-temperature synchrony in matching energy supply with demand in most other ecosystem types, thereby conferring a measure of stability in the metabolism of their food webs over annual time scales.									5	0	0	0	1	0	5			0012-9658	1939-9170		WOS:000474127300001	30854634	
J	Gillooly, James F.; Gomez, Juan Pablo; Mavrodiev, Evgeny V.; Rong, Yue; McLamore, Eric S.				Rong, Yue/ABA-5348-2020; McLamore, Eric S/H-3441-2011	McLamore, Eric S/0000-0002-1662-7372; Rong, Yue/0000-0003-2456-8584; Gomez, Juan Pablo/0000-0002-4128-8739			Body mass scaling of passive oxygen diffusion in endotherms and ectotherms								PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				113	19			5340	5345		10.1073/pnas.1519617113				MAY 10 2016	2016	The area and thickness of respiratory surfaces, and the constraints they impose on passive oxygen diffusion, have been linked to differences in oxygen consumption rates and/or aerobic activity levels in vertebrates. However, it remains unclear how respiratory surfaces and associated diffusion rates vary with body mass across vertebrates, particularly in relation to the body mass scaling of oxygen consumption rates. Here we address these issues by first quantifying the bodymass dependence of respiratory surface area and respiratory barrier thickness for a diversity of endotherms (birds and mammals) and ectotherms (fishes, amphibians, and reptiles). Based on these findings, we then use Fick's law to predict the body mass scaling of oxygen diffusion for each group. Finally, we compare the predicted body mass dependence of oxygen diffusion to that of oxygen consumption in endotherms and ectotherms. We find that the slopes and intercepts of the relationships describing the body mass dependence of passive oxygen diffusion in these two groups are statistically indistinguishable from those describing the body mass dependence of oxygen consumption. Thus, the area and thickness of respiratory surfaces combine to match oxygen diffusion capacity to oxygen consumption rates in both air-and water-breathing vertebrates. In particular, the substantially lower oxygen consumption rates of ectotherms of a given body mass relative to those of endotherms correspond to differences in oxygen diffusion capacity. These results provide insights into the long-standing effort to understand the structural attributes of organisms that underlie the body mass scaling of oxygen consumption.									21	0	0	0	18	0	21			0027-8424			WOS:000375478800065	27118837	
J	Twardochleb, Laura A.; Treakle, Tyler C.; Zarnetske, Phoebe L.				Zarnetske, Phoebe/C-5484-2012	Zarnetske, Phoebe/0000-0001-6257-6951			Foraging strategy mediates ectotherm predator-prey responses to climate warming								ECOLOGY				101	11						10.1002/ecy.3146		AUG 2020		NOV 2020	2020	Climate warming and species traits interact to influence predator performance, including individual feeding and growth rates. However, the effects of an important trait-predator foraging strategy-are largely unknown. We investigated the interactions between predator foraging strategy and temperature on two ectotherm predators: an active predator, the backswimmerNotonecta undulata, and a sit-and-wait predator, the damselflyEnallagma annexum. In a series of predator-prey experiments across a temperature gradient, we measured predator feeding rates on an active prey species, zooplanktonDaphnia pulex, predator growth rates, and mechanisms that influence predator feeding: body speed of predators and prey (here measured as swimming speed), prey encounter rates, capture success, attack rates, and handling time. Overall, warming led to increased feeding rates for both predators through changes to each component of the predator's functional response. We found that prey swimming speed strongly increased with temperature. The active predator's swimming speed also increased with temperature, and together, the increase in predator and prey swimming speed resulted in twofold higher prey encounter rates for the active predator at warmer temperatures. By contrast, prey encounter rates of the sit-and-wait predator increased fourfold with rising temperatures as a result of increased prey swimming speed. Concurrently, increased prey swimming speed was associated with a decline in the active predator's capture success at high temperatures, whereas the sit-and-wait predator's capture success slightly increased with temperature. We provide some of the first evidence that foraging traits mediate the indirect effects of warming on predator performance. Understanding how traits influence species' responses to warming could clarify how climate change will affect entire functional groups of species.									0	0	0	0	0	0	0			0012-9658	1939-9170		WOS:000562303400001	32726861	
J	Sentis, Arnaud; Hemptinne, Jean-Louis; Brodeur, Jacques				Hemptinne, Jean-Louis/C-5989-2009; Sentis, Arnaud/K-5004-2014	Hemptinne, Jean-Louis/0000-0003-3875-2497; Sentis, Arnaud/0000-0003-4617-3620			Using functional response modeling to investigate the effect of temperature on predator feeding rate and energetic efficiency								OECOLOGIA				169	4			1117	1125		10.1007/s00442-012-2255-6				AUG 2012	2012	Temperature is one of the most important environmental parameters influencing all the biological processes and functions of poikilothermic organisms. Although extensive research has been carried out to evaluate the effects of temperature on animal life histories and to determine the upper and lower temperature thresholds as well as the optimal temperatures for survival, development, and reproduction, few studies have investigated links between thermal window, metabolism, and trophic interactions such as predation. We developed models and conducted laboratory experiments to investigate how temperature influences predator-prey interaction strengths (i.e., functional response) using a ladybeetle larva feeding on aphid prey. As predicted by the metabolic theory of ecology, we found that handling time exponentially decreases with warming, but-in contrast with this theory-search rate follows a hump-shaped relationship with temperature. An examination of the model reveals that temperature thresholds for predation depend mainly on search rate, suggesting that predation rate is primarily determined by searching activities and secondly by prey handling. In contrast with prior studies, our model shows that per capita short-term predator-prey interaction strengths and predator energetic efficiency (per capita feeding rate relative to metabolism) generally increase with temperature, reach an optimum, and then decrease at higher temperatures. We conclude that integrating the concept of thermal windows in short- and long-term ecological studies would lead to a better understanding of predator-prey population dynamics at thermal limits and allow better predictions of global warming effects on natural ecosystems.									64	1	0	0	61	0	65			0029-8549	1432-1939		WOS:000306494800025	22271203	
J	Vincent, Shawn E.; Mori, Akira								Determinants of feeding performance in free-ranging pit-vipers (Viperidae : Ovophis okinavensis): key roles for head size and body temperature								BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY				93	1			53	62						JAN 2008	2008	Feeding performance (handling time, capture success) in numerous animal species is well known to be influenced by a variety of ecological, functional, and physiological factors. Nonetheless, few studies have tested which factors are the strongest determinants of animal feeding performance in the wild. Using a field-based experiment, we examined the relationships among a number of functionally important variables and the predatory behaviour of free-ranging pit-vipers (Ovophis okinavensis) from Okinawa Island, Japan. Our main findings were: (1) strike latency was negatively related to snake body temperature and, hence, hotter snakes struck at frogs more readily than colder snakes; (2) initial bite position was correlated with ingestion direction (headfirst versus hindfirst) but ingestion direction was not correlated with ingestion duration; and (3) both snake head length and body temperature were negatively related with ingestion duration and, thus, snakes with longer heads and higher body temperatures had shorter ingestion durations. In O. okinavensis, head size and body temperature are therefore likely to have direct ecological consequences in terms of its feeding rate on explosively breeding frogs. More generally, however, this field-based study adds to the growing body of literature demonstrating that temperature has a pervasive influence on the feeding performance of ectotherms in general. (c) 2008 The Linnean Society of London.									20	0	0	0	22	1	22			0024-4066	1095-8312		WOS:000251738300006		
J	CRAIG, RB								ANALYSIS OF PREDATORY BEHAVIOR OF LOGGERHEAD SHRIKE								AUK				95	2			221	234						1978	1978										47	0	0	0	41	0	47			0004-8038	1938-4254		WOS:A1978EX92400001		
