x;group
climate change;intervencao
functional response;resposta
global warming;intervencao
growth rates;resposta
interaction strength;resposta
temperature effect;intervencao
trophic interaction;populacao
water temperature;intervencao
attack rates;resposta
climate warming;intervencao
consumption rates;resposta
feeding rates;resposta
functional responses;resposta
handling times;resposta
higher temperature;intervencao
higher temperatures;intervencao
increasing temperature;intervencao
increasing temperatures;intervencao
laboratory conditions;controle
laboratory experiment;controle
laboratory experiments;controle
lower temperature;intervencao
lower temperatures;intervencao
predation rates;resposta
temperature effects;intervencao
temperature increased;intervencao
temperature influence;intervencao
temperature regime;intervencao
trophic interactions;populacao
water temperatures;intervencao
predator;populacao
predator-prey;populacao
predator and prey;populacao
consumer resource;populacao
consumer and resource;populacao
consumer-resource;populacao
ectotherm;tipo
poikilotherm;tipo
warming;intervencao
optimal temperature;intervencao
optimal temperatures;intervencao
thermal environment;intervencao
temperature dependence;intervencao
killing rate;resposta
consume rate;resposta
clearance rate;resposta
attack rate;resposta
capture rate;resposta
capture success;resposta
capture;resposta
handling time;resposta
prey manipulation time;resposta
prey handling;resposta
growth rate;resposta
